Date;Group;Series;Value
02/01/2008;Swedish Government Bonds;SE GVB 10Y;4.278
03/01/2008;Swedish Government Bonds;SE GVB 10Y;4.249
04/01/2008;Swedish Government Bonds;SE GVB 10Y;4.179
07/01/2008;Swedish Government Bonds;SE GVB 10Y;4.151
08/01/2008;Swedish Government Bonds;SE GVB 10Y;4.198
09/01/2008;Swedish Government Bonds;SE GVB 10Y;4.143
10/01/2008;Swedish Government Bonds;SE GVB 10Y;4.162
11/01/2008;Swedish Government Bonds;SE GVB 10Y;4.17
14/01/2008;Swedish Government Bonds;SE GVB 10Y;4.113
15/01/2008;Swedish Government Bonds;SE GVB 10Y;4.089
16/01/2008;Swedish Government Bonds;SE GVB 10Y;4.059
17/01/2008;Swedish Government Bonds;SE GVB 10Y;4.06
18/01/2008;Swedish Government Bonds;SE GVB 10Y;4.05
21/01/2008;Swedish Government Bonds;SE GVB 10Y;3.977
22/01/2008;Swedish Government Bonds;SE GVB 10Y;3.993
23/01/2008;Swedish Government Bonds;SE GVB 10Y;3.925
24/01/2008;Swedish Government Bonds;SE GVB 10Y;4.02
25/01/2008;Swedish Government Bonds;SE GVB 10Y;4.039
28/01/2008;Swedish Government Bonds;SE GVB 10Y;3.97
29/01/2008;Swedish Government Bonds;SE GVB 10Y;4.00
30/01/2008;Swedish Government Bonds;SE GVB 10Y;4.04
31/01/2008;Swedish Government Bonds;SE GVB 10Y;3.945
01/02/2008;Swedish Government Bonds;SE GVB 10Y;3.965
04/02/2008;Swedish Government Bonds;SE GVB 10Y;3.962
05/02/2008;Swedish Government Bonds;SE GVB 10Y;3.891
06/02/2008;Swedish Government Bonds;SE GVB 10Y;3.922
07/02/2008;Swedish Government Bonds;SE GVB 10Y;3.914
08/02/2008;Swedish Government Bonds;SE GVB 10Y;3.896
11/02/2008;Swedish Government Bonds;SE GVB 10Y;3.861
12/02/2008;Swedish Government Bonds;SE GVB 10Y;3.939
13/02/2008;Swedish Government Bonds;SE GVB 10Y;4.022
14/02/2008;Swedish Government Bonds;SE GVB 10Y;4.116
15/02/2008;Swedish Government Bonds;SE GVB 10Y;4.039
18/02/2008;Swedish Government Bonds;SE GVB 10Y;4.065
19/02/2008;Swedish Government Bonds;SE GVB 10Y;4.054
20/02/2008;Swedish Government Bonds;SE GVB 10Y;4.086
21/02/2008;Swedish Government Bonds;SE GVB 10Y;4.116
22/02/2008;Swedish Government Bonds;SE GVB 10Y;4.062
25/02/2008;Swedish Government Bonds;SE GVB 10Y;4.078
26/02/2008;Swedish Government Bonds;SE GVB 10Y;4.101
27/02/2008;Swedish Government Bonds;SE GVB 10Y;4.132
28/02/2008;Swedish Government Bonds;SE GVB 10Y;4.108
29/02/2008;Swedish Government Bonds;SE GVB 10Y;3.998
03/03/2008;Swedish Government Bonds;SE GVB 10Y;4.02
04/03/2008;Swedish Government Bonds;SE GVB 10Y;3.956
05/03/2008;Swedish Government Bonds;SE GVB 10Y;4.002
06/03/2008;Swedish Government Bonds;SE GVB 10Y;3.966
07/03/2008;Swedish Government Bonds;SE GVB 10Y;3.95
10/03/2008;Swedish Government Bonds;SE GVB 10Y;3.918
11/03/2008;Swedish Government Bonds;SE GVB 10Y;3.943
12/03/2008;Swedish Government Bonds;SE GVB 10Y;3.935
13/03/2008;Swedish Government Bonds;SE GVB 10Y;3.863
14/03/2008;Swedish Government Bonds;SE GVB 10Y;3.825
17/03/2008;Swedish Government Bonds;SE GVB 10Y;3.769
18/03/2008;Swedish Government Bonds;SE GVB 10Y;3.821
19/03/2008;Swedish Government Bonds;SE GVB 10Y;3.84
20/03/2008;Swedish Government Bonds;SE GVB 10Y;3.806
25/03/2008;Swedish Government Bonds;SE GVB 10Y;3.936
26/03/2008;Swedish Government Bonds;SE GVB 10Y;3.931
27/03/2008;Swedish Government Bonds;SE GVB 10Y;3.963
28/03/2008;Swedish Government Bonds;SE GVB 10Y;3.998
31/03/2008;Swedish Government Bonds;SE GVB 10Y;3.957
01/04/2008;Swedish Government Bonds;SE GVB 10Y;4.012
02/04/2008;Swedish Government Bonds;SE GVB 10Y;4.009
03/04/2008;Swedish Government Bonds;SE GVB 10Y;3.995
04/04/2008;Swedish Government Bonds;SE GVB 10Y;3.961
07/04/2008;Swedish Government Bonds;SE GVB 10Y;4.00
08/04/2008;Swedish Government Bonds;SE GVB 10Y;4.013
09/04/2008;Swedish Government Bonds;SE GVB 10Y;4.028
10/04/2008;Swedish Government Bonds;SE GVB 10Y;3.969
11/04/2008;Swedish Government Bonds;SE GVB 10Y;3.948
14/04/2008;Swedish Government Bonds;SE GVB 10Y;3.974
15/04/2008;Swedish Government Bonds;SE GVB 10Y;3.992
16/04/2008;Swedish Government Bonds;SE GVB 10Y;4.05
17/04/2008;Swedish Government Bonds;SE GVB 10Y;4.101
18/04/2008;Swedish Government Bonds;SE GVB 10Y;4.17
21/04/2008;Swedish Government Bonds;SE GVB 10Y;4.139
22/04/2008;Swedish Government Bonds;SE GVB 10Y;4.18
23/04/2008;Swedish Government Bonds;SE GVB 10Y;4.15
24/04/2008;Swedish Government Bonds;SE GVB 10Y;4.156
25/04/2008;Swedish Government Bonds;SE GVB 10Y;4.182
28/04/2008;Swedish Government Bonds;SE GVB 10Y;4.183
29/04/2008;Swedish Government Bonds;SE GVB 10Y;4.111
30/04/2008;Swedish Government Bonds;SE GVB 10Y;4.075
02/05/2008;Swedish Government Bonds;SE GVB 10Y;4.145
05/05/2008;Swedish Government Bonds;SE GVB 10Y;4.10
06/05/2008;Swedish Government Bonds;SE GVB 10Y;4.043
07/05/2008;Swedish Government Bonds;SE GVB 10Y;4.10
08/05/2008;Swedish Government Bonds;SE GVB 10Y;4.028
09/05/2008;Swedish Government Bonds;SE GVB 10Y;3.986
12/05/2008;Swedish Government Bonds;SE GVB 10Y;4.008
13/05/2008;Swedish Government Bonds;SE GVB 10Y;4.079
14/05/2008;Swedish Government Bonds;SE GVB 10Y;4.109
15/05/2008;Swedish Government Bonds;SE GVB 10Y;4.167
16/05/2008;Swedish Government Bonds;SE GVB 10Y;4.154
19/05/2008;Swedish Government Bonds;SE GVB 10Y;4.158
20/05/2008;Swedish Government Bonds;SE GVB 10Y;4.146
21/05/2008;Swedish Government Bonds;SE GVB 10Y;4.199
22/05/2008;Swedish Government Bonds;SE GVB 10Y;4.31
23/05/2008;Swedish Government Bonds;SE GVB 10Y;4.258
26/05/2008;Swedish Government Bonds;SE GVB 10Y;4.282
27/05/2008;Swedish Government Bonds;SE GVB 10Y;4.333
28/05/2008;Swedish Government Bonds;SE GVB 10Y;4.369
29/05/2008;Swedish Government Bonds;SE GVB 10Y;4.446
30/05/2008;Swedish Government Bonds;SE GVB 10Y;4.38
02/06/2008;Swedish Government Bonds;SE GVB 10Y;4.351
03/06/2008;Swedish Government Bonds;SE GVB 10Y;4.383
04/06/2008;Swedish Government Bonds;SE GVB 10Y;4.338
05/06/2008;Swedish Government Bonds;SE GVB 10Y;4.336
09/06/2008;Swedish Government Bonds;SE GVB 10Y;4.33
10/06/2008;Swedish Government Bonds;SE GVB 10Y;4.348
11/06/2008;Swedish Government Bonds;SE GVB 10Y;4.38
12/06/2008;Swedish Government Bonds;SE GVB 10Y;4.439
13/06/2008;Swedish Government Bonds;SE GVB 10Y;4.488
16/06/2008;Swedish Government Bonds;SE GVB 10Y;4.536
17/06/2008;Swedish Government Bonds;SE GVB 10Y;4.505
18/06/2008;Swedish Government Bonds;SE GVB 10Y;4.464
19/06/2008;Swedish Government Bonds;SE GVB 10Y;4.476
23/06/2008;Swedish Government Bonds;SE GVB 10Y;4.439
24/06/2008;Swedish Government Bonds;SE GVB 10Y;4.446
25/06/2008;Swedish Government Bonds;SE GVB 10Y;4.482
26/06/2008;Swedish Government Bonds;SE GVB 10Y;4.45
27/06/2008;Swedish Government Bonds;SE GVB 10Y;4.421
30/06/2008;Swedish Government Bonds;SE GVB 10Y;4.515
01/07/2008;Swedish Government Bonds;SE GVB 10Y;4.49
02/07/2008;Swedish Government Bonds;SE GVB 10Y;4.56
03/07/2008;Swedish Government Bonds;SE GVB 10Y;4.54
04/07/2008;Swedish Government Bonds;SE GVB 10Y;4.495
07/07/2008;Swedish Government Bonds;SE GVB 10Y;4.415
08/07/2008;Swedish Government Bonds;SE GVB 10Y;4.415
09/07/2008;Swedish Government Bonds;SE GVB 10Y;4.375
10/07/2008;Swedish Government Bonds;SE GVB 10Y;4.35
11/07/2008;Swedish Government Bonds;SE GVB 10Y;4.305
14/07/2008;Swedish Government Bonds;SE GVB 10Y;4.234
15/07/2008;Swedish Government Bonds;SE GVB 10Y;4.165
16/07/2008;Swedish Government Bonds;SE GVB 10Y;4.222
17/07/2008;Swedish Government Bonds;SE GVB 10Y;4.279
18/07/2008;Swedish Government Bonds;SE GVB 10Y;4.366
21/07/2008;Swedish Government Bonds;SE GVB 10Y;4.412
22/07/2008;Swedish Government Bonds;SE GVB 10Y;4.434
23/07/2008;Swedish Government Bonds;SE GVB 10Y;4.47
24/07/2008;Swedish Government Bonds;SE GVB 10Y;4.406
25/07/2008;Swedish Government Bonds;SE GVB 10Y;4.401
28/07/2008;Swedish Government Bonds;SE GVB 10Y;4.378
29/07/2008;Swedish Government Bonds;SE GVB 10Y;4.386
30/07/2008;Swedish Government Bonds;SE GVB 10Y;4.30
31/07/2008;Swedish Government Bonds;SE GVB 10Y;4.217
01/08/2008;Swedish Government Bonds;SE GVB 10Y;4.185
04/08/2008;Swedish Government Bonds;SE GVB 10Y;4.17
05/08/2008;Swedish Government Bonds;SE GVB 10Y;4.173
06/08/2008;Swedish Government Bonds;SE GVB 10Y;4.185
07/08/2008;Swedish Government Bonds;SE GVB 10Y;4.14
08/08/2008;Swedish Government Bonds;SE GVB 10Y;4.134
11/08/2008;Swedish Government Bonds;SE GVB 10Y;4.149
12/08/2008;Swedish Government Bonds;SE GVB 10Y;4.09
13/08/2008;Swedish Government Bonds;SE GVB 10Y;4.101
14/08/2008;Swedish Government Bonds;SE GVB 10Y;4.109
15/08/2008;Swedish Government Bonds;SE GVB 10Y;4.098
18/08/2008;Swedish Government Bonds;SE GVB 10Y;4.075
19/08/2008;Swedish Government Bonds;SE GVB 10Y;4.05
20/08/2008;Swedish Government Bonds;SE GVB 10Y;4.05
21/08/2008;Swedish Government Bonds;SE GVB 10Y;4.09
22/08/2008;Swedish Government Bonds;SE GVB 10Y;4.154
25/08/2008;Swedish Government Bonds;SE GVB 10Y;4.08
26/08/2008;Swedish Government Bonds;SE GVB 10Y;4.058
27/08/2008;Swedish Government Bonds;SE GVB 10Y;4.12
28/08/2008;Swedish Government Bonds;SE GVB 10Y;4.107
29/08/2008;Swedish Government Bonds;SE GVB 10Y;4.07
01/09/2008;Swedish Government Bonds;SE GVB 10Y;4.03
02/09/2008;Swedish Government Bonds;SE GVB 10Y;4.076
03/09/2008;Swedish Government Bonds;SE GVB 10Y;3.965
04/09/2008;Swedish Government Bonds;SE GVB 10Y;3.965
05/09/2008;Swedish Government Bonds;SE GVB 10Y;3.87
08/09/2008;Swedish Government Bonds;SE GVB 10Y;3.896
09/09/2008;Swedish Government Bonds;SE GVB 10Y;3.865
10/09/2008;Swedish Government Bonds;SE GVB 10Y;3.888
11/09/2008;Swedish Government Bonds;SE GVB 10Y;3.866
12/09/2008;Swedish Government Bonds;SE GVB 10Y;3.93
