Date;Group;Series;Value
02/01/1998;Swedish Government Bonds;SE GVB 5Y;5.69
05/01/1998;Swedish Government Bonds;SE GVB 5Y;5.55
07/01/1998;Swedish Government Bonds;SE GVB 5Y;5.46
08/01/1998;Swedish Government Bonds;SE GVB 5Y;5.41
09/01/1998;Swedish Government Bonds;SE GVB 5Y;5.31
12/01/1998;Swedish Government Bonds;SE GVB 5Y;5.30
13/01/1998;Swedish Government Bonds;SE GVB 5Y;5.31
14/01/1998;Swedish Government Bonds;SE GVB 5Y;5.30
15/01/1998;Swedish Government Bonds;SE GVB 5Y;5.32
16/01/1998;Swedish Government Bonds;SE GVB 5Y;5.36
19/01/1998;Swedish Government Bonds;SE GVB 5Y;5.32
20/01/1998;Swedish Government Bonds;SE GVB 5Y;5.28
21/01/1998;Swedish Government Bonds;SE GVB 5Y;5.33
22/01/1998;Swedish Government Bonds;SE GVB 5Y;5.35
23/01/1998;Swedish Government Bonds;SE GVB 5Y;5.38
26/01/1998;Swedish Government Bonds;SE GVB 5Y;5.36
27/01/1998;Swedish Government Bonds;SE GVB 5Y;5.32
28/01/1998;Swedish Government Bonds;SE GVB 5Y;5.31
29/01/1998;Swedish Government Bonds;SE GVB 5Y;5.32
30/01/1998;Swedish Government Bonds;SE GVB 5Y;5.29
02/02/1998;Swedish Government Bonds;SE GVB 5Y;5.29
03/02/1998;Swedish Government Bonds;SE GVB 5Y;5.30
04/02/1998;Swedish Government Bonds;SE GVB 5Y;5.34
05/02/1998;Swedish Government Bonds;SE GVB 5Y;5.37
06/02/1998;Swedish Government Bonds;SE GVB 5Y;5.36
09/02/1998;Swedish Government Bonds;SE GVB 5Y;5.37
10/02/1998;Swedish Government Bonds;SE GVB 5Y;5.36
11/02/1998;Swedish Government Bonds;SE GVB 5Y;5.27
12/02/1998;Swedish Government Bonds;SE GVB 5Y;5.23
13/02/1998;Swedish Government Bonds;SE GVB 5Y;5.20
16/02/1998;Swedish Government Bonds;SE GVB 5Y;5.19
17/02/1998;Swedish Government Bonds;SE GVB 5Y;5.15
18/02/1998;Swedish Government Bonds;SE GVB 5Y;5.17
19/02/1998;Swedish Government Bonds;SE GVB 5Y;5.14
20/02/1998;Swedish Government Bonds;SE GVB 5Y;5.15
23/02/1998;Swedish Government Bonds;SE GVB 5Y;5.11
24/02/1998;Swedish Government Bonds;SE GVB 5Y;5.10
25/02/1998;Swedish Government Bonds;SE GVB 5Y;5.12
26/02/1998;Swedish Government Bonds;SE GVB 5Y;5.10
27/02/1998;Swedish Government Bonds;SE GVB 5Y;5.16
02/03/1998;Swedish Government Bonds;SE GVB 5Y;5.14
03/03/1998;Swedish Government Bonds;SE GVB 5Y;5.15
04/03/1998;Swedish Government Bonds;SE GVB 5Y;5.25
05/03/1998;Swedish Government Bonds;SE GVB 5Y;5.25
06/03/1998;Swedish Government Bonds;SE GVB 5Y;5.21
09/03/1998;Swedish Government Bonds;SE GVB 5Y;5.14
10/03/1998;Swedish Government Bonds;SE GVB 5Y;5.12
11/03/1998;Swedish Government Bonds;SE GVB 5Y;5.11
12/03/1998;Swedish Government Bonds;SE GVB 5Y;5.04
13/03/1998;Swedish Government Bonds;SE GVB 5Y;5.06
16/03/1998;Swedish Government Bonds;SE GVB 5Y;5.03
17/03/1998;Swedish Government Bonds;SE GVB 5Y;4.99
18/03/1998;Swedish Government Bonds;SE GVB 5Y;5.01
19/03/1998;Swedish Government Bonds;SE GVB 5Y;5.07
20/03/1998;Swedish Government Bonds;SE GVB 5Y;5.05
23/03/1998;Swedish Government Bonds;SE GVB 5Y;5.08
24/03/1998;Swedish Government Bonds;SE GVB 5Y;5.04
25/03/1998;Swedish Government Bonds;SE GVB 5Y;4.99
26/03/1998;Swedish Government Bonds;SE GVB 5Y;5.02
27/03/1998;Swedish Government Bonds;SE GVB 5Y;5.02
30/03/1998;Swedish Government Bonds;SE GVB 5Y;5.09
31/03/1998;Swedish Government Bonds;SE GVB 5Y;5.09
01/04/1998;Swedish Government Bonds;SE GVB 5Y;5.10
02/04/1998;Swedish Government Bonds;SE GVB 5Y;5.07
03/04/1998;Swedish Government Bonds;SE GVB 5Y;4.97
06/04/1998;Swedish Government Bonds;SE GVB 5Y;4.97
07/04/1998;Swedish Government Bonds;SE GVB 5Y;4.99
08/04/1998;Swedish Government Bonds;SE GVB 5Y;5.00
09/04/1998;Swedish Government Bonds;SE GVB 5Y;5.00
14/04/1998;Swedish Government Bonds;SE GVB 5Y;4.99
15/04/1998;Swedish Government Bonds;SE GVB 5Y;5.00
16/04/1998;Swedish Government Bonds;SE GVB 5Y;4.98
17/04/1998;Swedish Government Bonds;SE GVB 5Y;4.95
20/04/1998;Swedish Government Bonds;SE GVB 5Y;4.96
21/04/1998;Swedish Government Bonds;SE GVB 5Y;4.98
22/04/1998;Swedish Government Bonds;SE GVB 5Y;5.00
23/04/1998;Swedish Government Bonds;SE GVB 5Y;4.99
24/04/1998;Swedish Government Bonds;SE GVB 5Y;5.01
27/04/1998;Swedish Government Bonds;SE GVB 5Y;5.10
28/04/1998;Swedish Government Bonds;SE GVB 5Y;5.12
29/04/1998;Swedish Government Bonds;SE GVB 5Y;5.15
30/04/1998;Swedish Government Bonds;SE GVB 5Y;5.15
04/05/1998;Swedish Government Bonds;SE GVB 5Y;5.07
05/05/1998;Swedish Government Bonds;SE GVB 5Y;5.11
06/05/1998;Swedish Government Bonds;SE GVB 5Y;5.13
07/05/1998;Swedish Government Bonds;SE GVB 5Y;5.13
08/05/1998;Swedish Government Bonds;SE GVB 5Y;5.08
11/05/1998;Swedish Government Bonds;SE GVB 5Y;5.06
12/05/1998;Swedish Government Bonds;SE GVB 5Y;5.09
13/05/1998;Swedish Government Bonds;SE GVB 5Y;5.06
14/05/1998;Swedish Government Bonds;SE GVB 5Y;5.07
15/05/1998;Swedish Government Bonds;SE GVB 5Y;5.08
18/05/1998;Swedish Government Bonds;SE GVB 5Y;5.04
19/05/1998;Swedish Government Bonds;SE GVB 5Y;5.01
20/05/1998;Swedish Government Bonds;SE GVB 5Y;4.97
22/05/1998;Swedish Government Bonds;SE GVB 5Y;4.97
25/05/1998;Swedish Government Bonds;SE GVB 5Y;4.90
26/05/1998;Swedish Government Bonds;SE GVB 5Y;4.85
27/05/1998;Swedish Government Bonds;SE GVB 5Y;4.82
28/05/1998;Swedish Government Bonds;SE GVB 5Y;4.86
29/05/1998;Swedish Government Bonds;SE GVB 5Y;4.83
02/06/1998;Swedish Government Bonds;SE GVB 5Y;4.81
03/06/1998;Swedish Government Bonds;SE GVB 5Y;4.82
04/06/1998;Swedish Government Bonds;SE GVB 5Y;4.76
05/06/1998;Swedish Government Bonds;SE GVB 5Y;4.76
08/06/1998;Swedish Government Bonds;SE GVB 5Y;4.77
09/06/1998;Swedish Government Bonds;SE GVB 5Y;4.79
10/06/1998;Swedish Government Bonds;SE GVB 5Y;4.73
11/06/1998;Swedish Government Bonds;SE GVB 5Y;4.68
12/06/1998;Swedish Government Bonds;SE GVB 5Y;4.71
15/06/1998;Swedish Government Bonds;SE GVB 5Y;4.68
16/06/1998;Swedish Government Bonds;SE GVB 5Y;4.71
17/06/1998;Swedish Government Bonds;SE GVB 5Y;4.76
18/06/1998;Swedish Government Bonds;SE GVB 5Y;4.76
22/06/1998;Swedish Government Bonds;SE GVB 5Y;4.74
23/06/1998;Swedish Government Bonds;SE GVB 5Y;4.73
