Date;Group;Series;Value
02/01/2008;Swedish Government Bonds;SE GVB 5Y;4.128
03/01/2008;Swedish Government Bonds;SE GVB 5Y;4.09
04/01/2008;Swedish Government Bonds;SE GVB 5Y;4.028
07/01/2008;Swedish Government Bonds;SE GVB 5Y;4.015
08/01/2008;Swedish Government Bonds;SE GVB 5Y;4.056
09/01/2008;Swedish Government Bonds;SE GVB 5Y;3.99
10/01/2008;Swedish Government Bonds;SE GVB 5Y;4.018
11/01/2008;Swedish Government Bonds;SE GVB 5Y;4.019
14/01/2008;Swedish Government Bonds;SE GVB 5Y;3.939
15/01/2008;Swedish Government Bonds;SE GVB 5Y;3.92
16/01/2008;Swedish Government Bonds;SE GVB 5Y;3.889
17/01/2008;Swedish Government Bonds;SE GVB 5Y;3.875
18/01/2008;Swedish Government Bonds;SE GVB 5Y;3.855
21/01/2008;Swedish Government Bonds;SE GVB 5Y;3.76
22/01/2008;Swedish Government Bonds;SE GVB 5Y;3.754
23/01/2008;Swedish Government Bonds;SE GVB 5Y;3.678
24/01/2008;Swedish Government Bonds;SE GVB 5Y;3.815
25/01/2008;Swedish Government Bonds;SE GVB 5Y;3.847
28/01/2008;Swedish Government Bonds;SE GVB 5Y;3.76
29/01/2008;Swedish Government Bonds;SE GVB 5Y;3.798
30/01/2008;Swedish Government Bonds;SE GVB 5Y;3.83
31/01/2008;Swedish Government Bonds;SE GVB 5Y;3.713
01/02/2008;Swedish Government Bonds;SE GVB 5Y;3.745
04/02/2008;Swedish Government Bonds;SE GVB 5Y;3.77
05/02/2008;Swedish Government Bonds;SE GVB 5Y;3.66
06/02/2008;Swedish Government Bonds;SE GVB 5Y;3.678
07/02/2008;Swedish Government Bonds;SE GVB 5Y;3.615
08/02/2008;Swedish Government Bonds;SE GVB 5Y;3.592
11/02/2008;Swedish Government Bonds;SE GVB 5Y;3.597
12/02/2008;Swedish Government Bonds;SE GVB 5Y;3.689
13/02/2008;Swedish Government Bonds;SE GVB 5Y;3.808
14/02/2008;Swedish Government Bonds;SE GVB 5Y;3.877
15/02/2008;Swedish Government Bonds;SE GVB 5Y;3.823
18/02/2008;Swedish Government Bonds;SE GVB 5Y;3.862
19/02/2008;Swedish Government Bonds;SE GVB 5Y;3.82
20/02/2008;Swedish Government Bonds;SE GVB 5Y;3.86
21/02/2008;Swedish Government Bonds;SE GVB 5Y;3.921
22/02/2008;Swedish Government Bonds;SE GVB 5Y;3.859
25/02/2008;Swedish Government Bonds;SE GVB 5Y;3.867
26/02/2008;Swedish Government Bonds;SE GVB 5Y;3.893
27/02/2008;Swedish Government Bonds;SE GVB 5Y;3.887
28/02/2008;Swedish Government Bonds;SE GVB 5Y;3.852
29/02/2008;Swedish Government Bonds;SE GVB 5Y;3.756
03/03/2008;Swedish Government Bonds;SE GVB 5Y;3.795
04/03/2008;Swedish Government Bonds;SE GVB 5Y;3.755
05/03/2008;Swedish Government Bonds;SE GVB 5Y;3.803
06/03/2008;Swedish Government Bonds;SE GVB 5Y;3.775
07/03/2008;Swedish Government Bonds;SE GVB 5Y;3.753
10/03/2008;Swedish Government Bonds;SE GVB 5Y;3.706
11/03/2008;Swedish Government Bonds;SE GVB 5Y;3.749
12/03/2008;Swedish Government Bonds;SE GVB 5Y;3.774
13/03/2008;Swedish Government Bonds;SE GVB 5Y;3.691
14/03/2008;Swedish Government Bonds;SE GVB 5Y;3.667
17/03/2008;Swedish Government Bonds;SE GVB 5Y;3.597
18/03/2008;Swedish Government Bonds;SE GVB 5Y;3.688
19/03/2008;Swedish Government Bonds;SE GVB 5Y;3.735
20/03/2008;Swedish Government Bonds;SE GVB 5Y;3.716
25/03/2008;Swedish Government Bonds;SE GVB 5Y;3.869
26/03/2008;Swedish Government Bonds;SE GVB 5Y;3.847
27/03/2008;Swedish Government Bonds;SE GVB 5Y;3.827
28/03/2008;Swedish Government Bonds;SE GVB 5Y;3.879
31/03/2008;Swedish Government Bonds;SE GVB 5Y;3.82
01/04/2008;Swedish Government Bonds;SE GVB 5Y;3.879
02/04/2008;Swedish Government Bonds;SE GVB 5Y;3.889
03/04/2008;Swedish Government Bonds;SE GVB 5Y;3.87
04/04/2008;Swedish Government Bonds;SE GVB 5Y;3.838
07/04/2008;Swedish Government Bonds;SE GVB 5Y;3.889
08/04/2008;Swedish Government Bonds;SE GVB 5Y;3.898
09/04/2008;Swedish Government Bonds;SE GVB 5Y;3.892
10/04/2008;Swedish Government Bonds;SE GVB 5Y;3.834
11/04/2008;Swedish Government Bonds;SE GVB 5Y;3.81
14/04/2008;Swedish Government Bonds;SE GVB 5Y;3.86
15/04/2008;Swedish Government Bonds;SE GVB 5Y;3.901
16/04/2008;Swedish Government Bonds;SE GVB 5Y;3.96
17/04/2008;Swedish Government Bonds;SE GVB 5Y;4.031
18/04/2008;Swedish Government Bonds;SE GVB 5Y;4.136
21/04/2008;Swedish Government Bonds;SE GVB 5Y;4.057
22/04/2008;Swedish Government Bonds;SE GVB 5Y;4.125
23/04/2008;Swedish Government Bonds;SE GVB 5Y;4.117
24/04/2008;Swedish Government Bonds;SE GVB 5Y;4.113
25/04/2008;Swedish Government Bonds;SE GVB 5Y;4.141
28/04/2008;Swedish Government Bonds;SE GVB 5Y;4.12
29/04/2008;Swedish Government Bonds;SE GVB 5Y;4.042
30/04/2008;Swedish Government Bonds;SE GVB 5Y;4.006
02/05/2008;Swedish Government Bonds;SE GVB 5Y;4.065
05/05/2008;Swedish Government Bonds;SE GVB 5Y;4.05
06/05/2008;Swedish Government Bonds;SE GVB 5Y;3.979
07/05/2008;Swedish Government Bonds;SE GVB 5Y;4.03
08/05/2008;Swedish Government Bonds;SE GVB 5Y;3.973
09/05/2008;Swedish Government Bonds;SE GVB 5Y;3.948
12/05/2008;Swedish Government Bonds;SE GVB 5Y;3.981
13/05/2008;Swedish Government Bonds;SE GVB 5Y;4.062
14/05/2008;Swedish Government Bonds;SE GVB 5Y;4.097
15/05/2008;Swedish Government Bonds;SE GVB 5Y;4.142
16/05/2008;Swedish Government Bonds;SE GVB 5Y;4.138
19/05/2008;Swedish Government Bonds;SE GVB 5Y;4.143
20/05/2008;Swedish Government Bonds;SE GVB 5Y;4.14
21/05/2008;Swedish Government Bonds;SE GVB 5Y;4.22
22/05/2008;Swedish Government Bonds;SE GVB 5Y;4.335
23/05/2008;Swedish Government Bonds;SE GVB 5Y;4.317
26/05/2008;Swedish Government Bonds;SE GVB 5Y;4.326
27/05/2008;Swedish Government Bonds;SE GVB 5Y;4.368
28/05/2008;Swedish Government Bonds;SE GVB 5Y;4.382
29/05/2008;Swedish Government Bonds;SE GVB 5Y;4.472
30/05/2008;Swedish Government Bonds;SE GVB 5Y;4.398
02/06/2008;Swedish Government Bonds;SE GVB 5Y;4.351
03/06/2008;Swedish Government Bonds;SE GVB 5Y;4.387
04/06/2008;Swedish Government Bonds;SE GVB 5Y;4.363
05/06/2008;Swedish Government Bonds;SE GVB 5Y;4.404
09/06/2008;Swedish Government Bonds;SE GVB 5Y;4.64
10/06/2008;Swedish Government Bonds;SE GVB 5Y;4.638
11/06/2008;Swedish Government Bonds;SE GVB 5Y;4.582
12/06/2008;Swedish Government Bonds;SE GVB 5Y;4.638
13/06/2008;Swedish Government Bonds;SE GVB 5Y;4.717
16/06/2008;Swedish Government Bonds;SE GVB 5Y;4.817
17/06/2008;Swedish Government Bonds;SE GVB 5Y;4.753
18/06/2008;Swedish Government Bonds;SE GVB 5Y;4.717
19/06/2008;Swedish Government Bonds;SE GVB 5Y;4.73
23/06/2008;Swedish Government Bonds;SE GVB 5Y;4.669
24/06/2008;Swedish Government Bonds;SE GVB 5Y;4.654
25/06/2008;Swedish Government Bonds;SE GVB 5Y;4.646
