Date;Group;Series;Value
04/07/2008;Treasury Bills;SE 12M;4.412
07/07/2008;Treasury Bills;SE 12M;4.418
08/07/2008;Treasury Bills;SE 12M;4.418
09/07/2008;Treasury Bills;SE 12M;4.412
10/07/2008;Treasury Bills;SE 12M;4.665
11/07/2008;Treasury Bills;SE 12M;4.665
14/07/2008;Treasury Bills;SE 12M;4.731
15/07/2008;Treasury Bills;SE 12M;4.601
16/07/2008;Treasury Bills;SE 12M;4.561
17/07/2008;Treasury Bills;SE 12M;4.551
18/07/2008;Treasury Bills;SE 12M;4.607
21/07/2008;Treasury Bills;SE 12M;4.613
22/07/2008;Treasury Bills;SE 12M;4.622
23/07/2008;Treasury Bills;SE 12M;4.629
24/07/2008;Treasury Bills;SE 12M;4.543
25/07/2008;Treasury Bills;SE 12M;4.549
28/07/2008;Treasury Bills;SE 12M;4.498
29/07/2008;Treasury Bills;SE 12M;4.528
30/07/2008;Treasury Bills;SE 12M;4.671
31/07/2008;Treasury Bills;SE 12M;4.645
01/08/2008;Treasury Bills;SE 12M;4.261
04/08/2008;Treasury Bills;SE 12M;4.257
05/08/2008;Treasury Bills;SE 12M;4.252
06/08/2008;Treasury Bills;SE 12M;4.314
07/08/2008;Treasury Bills;SE 12M;4.263
08/08/2008;Treasury Bills;SE 12M;4.293
11/08/2008;Treasury Bills;SE 12M;4.329
12/08/2008;Treasury Bills;SE 12M;4.305
13/08/2008;Treasury Bills;SE 12M;4.285
14/08/2008;Treasury Bills;SE 12M;4.316
15/08/2008;Treasury Bills;SE 12M;4.336
18/08/2008;Treasury Bills;SE 12M;4.326
19/08/2008;Treasury Bills;SE 12M;4.31
20/08/2008;Treasury Bills;SE 12M;4.343
21/08/2008;Treasury Bills;SE 12M;4.424
22/08/2008;Treasury Bills;SE 12M;4.475
25/08/2008;Treasury Bills;SE 12M;4.617
26/08/2008;Treasury Bills;SE 12M;4.389
27/08/2008;Treasury Bills;SE 12M;4.389
28/08/2008;Treasury Bills;SE 12M;4.395
29/08/2008;Treasury Bills;SE 12M;4.394
01/09/2008;Treasury Bills;SE 12M;4.339
02/09/2008;Treasury Bills;SE 12M;4.376
03/09/2008;Treasury Bills;SE 12M;4.33
04/09/2008;Treasury Bills;SE 12M;4.396
05/09/2008;Treasury Bills;SE 12M;4.411
08/09/2008;Treasury Bills;SE 12M;4.463
09/09/2008;Treasury Bills;SE 12M;4.422
10/09/2008;Treasury Bills;SE 12M;4.424
11/09/2008;Treasury Bills;SE 12M;4.368
12/09/2008;Treasury Bills;SE 12M;4.379
15/09/2008;Treasury Bills;SE 12M;4.241
16/09/2008;Treasury Bills;SE 12M;4.13
17/09/2008;Treasury Bills;SE 12M;4.16
18/09/2008;Treasury Bills;SE 12M;4.135
19/09/2008;Treasury Bills;SE 12M;4.405
22/09/2008;Treasury Bills;SE 12M;4.319
23/09/2008;Treasury Bills;SE 12M;4.178
24/09/2008;Treasury Bills;SE 12M;4.117
25/09/2008;Treasury Bills;SE 12M;4.147
26/09/2008;Treasury Bills;SE 12M;4.087
29/09/2008;Treasury Bills;SE 12M;3.98
30/09/2008;Treasury Bills;SE 12M;3.949
01/10/2008;Treasury Bills;SE 12M;3.905
02/10/2008;Treasury Bills;SE 12M;3.915
03/10/2008;Treasury Bills;SE 12M;3.895
06/10/2008;Treasury Bills;SE 12M;3.762
07/10/2008;Treasury Bills;SE 12M;3.779
08/10/2008;Treasury Bills;SE 12M;3.56
09/10/2008;Treasury Bills;SE 12M;3.636
10/10/2008;Treasury Bills;SE 12M;3.53
13/10/2008;Treasury Bills;SE 12M;3.855
14/10/2008;Treasury Bills;SE 12M;3.855
15/10/2008;Treasury Bills;SE 12M;3.855
16/10/2008;Treasury Bills;SE 12M;3.855
17/10/2008;Treasury Bills;SE 12M;3.155
20/10/2008;Treasury Bills;SE 12M;3.17
21/10/2008;Treasury Bills;SE 12M;3.18
22/10/2008;Treasury Bills;SE 12M;3.185
23/10/2008;Treasury Bills;SE 12M;2.96
24/10/2008;Treasury Bills;SE 12M;2.805
27/10/2008;Treasury Bills;SE 12M;2.745
28/10/2008;Treasury Bills;SE 12M;2.73
29/10/2008;Treasury Bills;SE 12M;2.745
30/10/2008;Treasury Bills;SE 12M;2.75
31/10/2008;Treasury Bills;SE 12M;2.72
03/11/2008;Treasury Bills;SE 12M;2.745
04/11/2008;Treasury Bills;SE 12M;2.715
05/11/2008;Treasury Bills;SE 12M;2.745
06/11/2008;Treasury Bills;SE 12M;2.67
07/11/2008;Treasury Bills;SE 12M;2.63
10/11/2008;Treasury Bills;SE 12M;2.62
11/11/2008;Treasury Bills;SE 12M;2.60
12/11/2008;Treasury Bills;SE 12M;2.535
13/11/2008;Treasury Bills;SE 12M;2.46
14/11/2008;Treasury Bills;SE 12M;2.495
17/11/2008;Treasury Bills;SE 12M;2.47
18/11/2008;Treasury Bills;SE 12M;2.455
19/11/2008;Treasury Bills;SE 12M;2.48
20/11/2008;Treasury Bills;SE 12M;2.259
21/11/2008;Treasury Bills;SE 12M;2.264
24/11/2008;Treasury Bills;SE 12M;2.29
25/11/2008;Treasury Bills;SE 12M;2.28
