Date;Group;Series;Value
02/01/2008;Swedish Government Bonds;SE GVB 2Y;4.059
03/01/2008;Swedish Government Bonds;SE GVB 2Y;4.048
04/01/2008;Swedish Government Bonds;SE GVB 2Y;3.98
07/01/2008;Swedish Government Bonds;SE GVB 2Y;3.98
08/01/2008;Swedish Government Bonds;SE GVB 2Y;4.01
09/01/2008;Swedish Government Bonds;SE GVB 2Y;3.942
10/01/2008;Swedish Government Bonds;SE GVB 2Y;3.966
11/01/2008;Swedish Government Bonds;SE GVB 2Y;3.968
14/01/2008;Swedish Government Bonds;SE GVB 2Y;3.868
15/01/2008;Swedish Government Bonds;SE GVB 2Y;3.842
16/01/2008;Swedish Government Bonds;SE GVB 2Y;3.804
17/01/2008;Swedish Government Bonds;SE GVB 2Y;3.765
18/01/2008;Swedish Government Bonds;SE GVB 2Y;3.735
21/01/2008;Swedish Government Bonds;SE GVB 2Y;3.634
22/01/2008;Swedish Government Bonds;SE GVB 2Y;3.568
23/01/2008;Swedish Government Bonds;SE GVB 2Y;3.519
24/01/2008;Swedish Government Bonds;SE GVB 2Y;3.68
25/01/2008;Swedish Government Bonds;SE GVB 2Y;3.706
28/01/2008;Swedish Government Bonds;SE GVB 2Y;3.62
29/01/2008;Swedish Government Bonds;SE GVB 2Y;3.656
30/01/2008;Swedish Government Bonds;SE GVB 2Y;3.678
31/01/2008;Swedish Government Bonds;SE GVB 2Y;3.561
01/02/2008;Swedish Government Bonds;SE GVB 2Y;3.595
04/02/2008;Swedish Government Bonds;SE GVB 2Y;3.645
05/02/2008;Swedish Government Bonds;SE GVB 2Y;3.525
06/02/2008;Swedish Government Bonds;SE GVB 2Y;3.538
07/02/2008;Swedish Government Bonds;SE GVB 2Y;3.463
08/02/2008;Swedish Government Bonds;SE GVB 2Y;3.435
11/02/2008;Swedish Government Bonds;SE GVB 2Y;3.444
12/02/2008;Swedish Government Bonds;SE GVB 2Y;3.514
13/02/2008;Swedish Government Bonds;SE GVB 2Y;3.727
14/02/2008;Swedish Government Bonds;SE GVB 2Y;3.794
15/02/2008;Swedish Government Bonds;SE GVB 2Y;3.793
18/02/2008;Swedish Government Bonds;SE GVB 2Y;3.825
19/02/2008;Swedish Government Bonds;SE GVB 2Y;3.765
20/02/2008;Swedish Government Bonds;SE GVB 2Y;3.798
21/02/2008;Swedish Government Bonds;SE GVB 2Y;3.863
22/02/2008;Swedish Government Bonds;SE GVB 2Y;3.826
25/02/2008;Swedish Government Bonds;SE GVB 2Y;3.808
26/02/2008;Swedish Government Bonds;SE GVB 2Y;3.832
27/02/2008;Swedish Government Bonds;SE GVB 2Y;3.81
28/02/2008;Swedish Government Bonds;SE GVB 2Y;3.789
29/02/2008;Swedish Government Bonds;SE GVB 2Y;3.734
03/03/2008;Swedish Government Bonds;SE GVB 2Y;3.78
04/03/2008;Swedish Government Bonds;SE GVB 2Y;3.777
05/03/2008;Swedish Government Bonds;SE GVB 2Y;3.803
06/03/2008;Swedish Government Bonds;SE GVB 2Y;3.792
07/03/2008;Swedish Government Bonds;SE GVB 2Y;3.774
10/03/2008;Swedish Government Bonds;SE GVB 2Y;3.754
