Date;Group;Series;Value
02/01/1998;Swedish Government Bonds;SE GVB 2Y;5.38
05/01/1998;Swedish Government Bonds;SE GVB 2Y;5.29
07/01/1998;Swedish Government Bonds;SE GVB 2Y;5.20
08/01/1998;Swedish Government Bonds;SE GVB 2Y;5.15
09/01/1998;Swedish Government Bonds;SE GVB 2Y;5.03
12/01/1998;Swedish Government Bonds;SE GVB 2Y;4.99
13/01/1998;Swedish Government Bonds;SE GVB 2Y;5.03
14/01/1998;Swedish Government Bonds;SE GVB 2Y;5.00
15/01/1998;Swedish Government Bonds;SE GVB 2Y;5.02
16/01/1998;Swedish Government Bonds;SE GVB 2Y;5.06
19/01/1998;Swedish Government Bonds;SE GVB 2Y;5.01
20/01/1998;Swedish Government Bonds;SE GVB 2Y;4.99
21/01/1998;Swedish Government Bonds;SE GVB 2Y;5.03
22/01/1998;Swedish Government Bonds;SE GVB 2Y;5.05
23/01/1998;Swedish Government Bonds;SE GVB 2Y;5.07
26/01/1998;Swedish Government Bonds;SE GVB 2Y;5.05
27/01/1998;Swedish Government Bonds;SE GVB 2Y;4.99
28/01/1998;Swedish Government Bonds;SE GVB 2Y;4.97
29/01/1998;Swedish Government Bonds;SE GVB 2Y;4.98
30/01/1998;Swedish Government Bonds;SE GVB 2Y;4.96
02/02/1998;Swedish Government Bonds;SE GVB 2Y;4.96
03/02/1998;Swedish Government Bonds;SE GVB 2Y;4.97
04/02/1998;Swedish Government Bonds;SE GVB 2Y;4.99
05/02/1998;Swedish Government Bonds;SE GVB 2Y;5.01
06/02/1998;Swedish Government Bonds;SE GVB 2Y;5.01
09/02/1998;Swedish Government Bonds;SE GVB 2Y;5.02
10/02/1998;Swedish Government Bonds;SE GVB 2Y;5.03
11/02/1998;Swedish Government Bonds;SE GVB 2Y;4.96
12/02/1998;Swedish Government Bonds;SE GVB 2Y;4.96
13/02/1998;Swedish Government Bonds;SE GVB 2Y;4.92
16/02/1998;Swedish Government Bonds;SE GVB 2Y;4.92
17/02/1998;Swedish Government Bonds;SE GVB 2Y;4.87
18/02/1998;Swedish Government Bonds;SE GVB 2Y;4.87
19/02/1998;Swedish Government Bonds;SE GVB 2Y;4.84
20/02/1998;Swedish Government Bonds;SE GVB 2Y;4.85
23/02/1998;Swedish Government Bonds;SE GVB 2Y;4.83
24/02/1998;Swedish Government Bonds;SE GVB 2Y;4.81
25/02/1998;Swedish Government Bonds;SE GVB 2Y;4.83
26/02/1998;Swedish Government Bonds;SE GVB 2Y;4.84
27/02/1998;Swedish Government Bonds;SE GVB 2Y;4.90
02/03/1998;Swedish Government Bonds;SE GVB 2Y;4.87
03/03/1998;Swedish Government Bonds;SE GVB 2Y;4.90
04/03/1998;Swedish Government Bonds;SE GVB 2Y;4.98
05/03/1998;Swedish Government Bonds;SE GVB 2Y;4.98
06/03/1998;Swedish Government Bonds;SE GVB 2Y;4.94
09/03/1998;Swedish Government Bonds;SE GVB 2Y;4.88
10/03/1998;Swedish Government Bonds;SE GVB 2Y;4.87
11/03/1998;Swedish Government Bonds;SE GVB 2Y;4.87
12/03/1998;Swedish Government Bonds;SE GVB 2Y;4.83
13/03/1998;Swedish Government Bonds;SE GVB 2Y;4.86
16/03/1998;Swedish Government Bonds;SE GVB 2Y;4.83
17/03/1998;Swedish Government Bonds;SE GVB 2Y;4.82
18/03/1998;Swedish Government Bonds;SE GVB 2Y;4.84
19/03/1998;Swedish Government Bonds;SE GVB 2Y;4.93
20/03/1998;Swedish Government Bonds;SE GVB 2Y;4.92
23/03/1998;Swedish Government Bonds;SE GVB 2Y;4.95
24/03/1998;Swedish Government Bonds;SE GVB 2Y;4.89
