Date;Group;Series;Value
02/01/1998;Swedish Government Bonds;SE GVB 7Y;5.87
05/01/1998;Swedish Government Bonds;SE GVB 7Y;n/a
07/01/1998;Swedish Government Bonds;SE GVB 7Y;5.62
08/01/1998;Swedish Government Bonds;SE GVB 7Y;5.56
09/01/1998;Swedish Government Bonds;SE GVB 7Y;5.47
12/01/1998;Swedish Government Bonds;SE GVB 7Y;5.47
13/01/1998;Swedish Government Bonds;SE GVB 7Y;5.47
14/01/1998;Swedish Government Bonds;SE GVB 7Y;5.46
15/01/1998;Swedish Government Bonds;SE GVB 7Y;5.49
16/01/1998;Swedish Government Bonds;SE GVB 7Y;5.52
19/01/1998;Swedish Government Bonds;SE GVB 7Y;5.48
20/01/1998;Swedish Government Bonds;SE GVB 7Y;5.45
21/01/1998;Swedish Government Bonds;SE GVB 7Y;5.50
22/01/1998;Swedish Government Bonds;SE GVB 7Y;5.52
23/01/1998;Swedish Government Bonds;SE GVB 7Y;5.55
26/01/1998;Swedish Government Bonds;SE GVB 7Y;5.53
27/01/1998;Swedish Government Bonds;SE GVB 7Y;5.51
28/01/1998;Swedish Government Bonds;SE GVB 7Y;5.50
29/01/1998;Swedish Government Bonds;SE GVB 7Y;5.51
30/01/1998;Swedish Government Bonds;SE GVB 7Y;5.48
02/02/1998;Swedish Government Bonds;SE GVB 7Y;5.47
03/02/1998;Swedish Government Bonds;SE GVB 7Y;5.49
04/02/1998;Swedish Government Bonds;SE GVB 7Y;5.52
05/02/1998;Swedish Government Bonds;SE GVB 7Y;5.55
06/02/1998;Swedish Government Bonds;SE GVB 7Y;5.54
09/02/1998;Swedish Government Bonds;SE GVB 7Y;5.55
10/02/1998;Swedish Government Bonds;SE GVB 7Y;5.54
11/02/1998;Swedish Government Bonds;SE GVB 7Y;5.44
12/02/1998;Swedish Government Bonds;SE GVB 7Y;5.39
13/02/1998;Swedish Government Bonds;SE GVB 7Y;5.36
16/02/1998;Swedish Government Bonds;SE GVB 7Y;5.35
17/02/1998;Swedish Government Bonds;SE GVB 7Y;5.31
18/02/1998;Swedish Government Bonds;SE GVB 7Y;5.33
19/02/1998;Swedish Government Bonds;SE GVB 7Y;5.31
20/02/1998;Swedish Government Bonds;SE GVB 7Y;5.32
23/02/1998;Swedish Government Bonds;SE GVB 7Y;5.27
24/02/1998;Swedish Government Bonds;SE GVB 7Y;5.26
25/02/1998;Swedish Government Bonds;SE GVB 7Y;5.27
26/02/1998;Swedish Government Bonds;SE GVB 7Y;5.25
27/02/1998;Swedish Government Bonds;SE GVB 7Y;5.31
02/03/1998;Swedish Government Bonds;SE GVB 7Y;5.29
03/03/1998;Swedish Government Bonds;SE GVB 7Y;5.30
04/03/1998;Swedish Government Bonds;SE GVB 7Y;5.40
05/03/1998;Swedish Government Bonds;SE GVB 7Y;5.40
06/03/1998;Swedish Government Bonds;SE GVB 7Y;5.36
09/03/1998;Swedish Government Bonds;SE GVB 7Y;5.29
10/03/1998;Swedish Government Bonds;SE GVB 7Y;5.27
11/03/1998;Swedish Government Bonds;SE GVB 7Y;5.25
12/03/1998;Swedish Government Bonds;SE GVB 7Y;5.17
13/03/1998;Swedish Government Bonds;SE GVB 7Y;5.19
16/03/1998;Swedish Government Bonds;SE GVB 7Y;5.16
17/03/1998;Swedish Government Bonds;SE GVB 7Y;5.12
18/03/1998;Swedish Government Bonds;SE GVB 7Y;5.13
19/03/1998;Swedish Government Bonds;SE GVB 7Y;5.19
20/03/1998;Swedish Government Bonds;SE GVB 7Y;5.16
23/03/1998;Swedish Government Bonds;SE GVB 7Y;5.19
24/03/1998;Swedish Government Bonds;SE GVB 7Y;5.15
25/03/1998;Swedish Government Bonds;SE GVB 7Y;5.09
26/03/1998;Swedish Government Bonds;SE GVB 7Y;5.12
27/03/1998;Swedish Government Bonds;SE GVB 7Y;5.12
30/03/1998;Swedish Government Bonds;SE GVB 7Y;5.16
31/03/1998;Swedish Government Bonds;SE GVB 7Y;5.15
01/04/1998;Swedish Government Bonds;SE GVB 7Y;5.17
02/04/1998;Swedish Government Bonds;SE GVB 7Y;5.13
03/04/1998;Swedish Government Bonds;SE GVB 7Y;5.03
06/04/1998;Swedish Government Bonds;SE GVB 7Y;5.02
07/04/1998;Swedish Government Bonds;SE GVB 7Y;5.04
08/04/1998;Swedish Government Bonds;SE GVB 7Y;5.05
09/04/1998;Swedish Government Bonds;SE GVB 7Y;5.05
14/04/1998;Swedish Government Bonds;SE GVB 7Y;5.04
15/04/1998;Swedish Government Bonds;SE GVB 7Y;5.05
16/04/1998;Swedish Government Bonds;SE GVB 7Y;5.02
17/04/1998;Swedish Government Bonds;SE GVB 7Y;5.00
20/04/1998;Swedish Government Bonds;SE GVB 7Y;5.01
21/04/1998;Swedish Government Bonds;SE GVB 7Y;5.04
22/04/1998;Swedish Government Bonds;SE GVB 7Y;5.06
23/04/1998;Swedish Government Bonds;SE GVB 7Y;5.05
24/04/1998;Swedish Government Bonds;SE GVB 7Y;5.07
27/04/1998;Swedish Government Bonds;SE GVB 7Y;5.16
28/04/1998;Swedish Government Bonds;SE GVB 7Y;5.18
29/04/1998;Swedish Government Bonds;SE GVB 7Y;5.21
30/04/1998;Swedish Government Bonds;SE GVB 7Y;5.21
04/05/1998;Swedish Government Bonds;SE GVB 7Y;5.12
05/05/1998;Swedish Government Bonds;SE GVB 7Y;5.16
06/05/1998;Swedish Government Bonds;SE GVB 7Y;5.18
07/05/1998;Swedish Government Bonds;SE GVB 7Y;5.18
08/05/1998;Swedish Government Bonds;SE GVB 7Y;5.14
11/05/1998;Swedish Government Bonds;SE GVB 7Y;5.12
12/05/1998;Swedish Government Bonds;SE GVB 7Y;5.15
13/05/1998;Swedish Government Bonds;SE GVB 7Y;5.12
14/05/1998;Swedish Government Bonds;SE GVB 7Y;5.13
15/05/1998;Swedish Government Bonds;SE GVB 7Y;5.13
18/05/1998;Swedish Government Bonds;SE GVB 7Y;5.10
19/05/1998;Swedish Government Bonds;SE GVB 7Y;5.07
20/05/1998;Swedish Government Bonds;SE GVB 7Y;5.03
22/05/1998;Swedish Government Bonds;SE GVB 7Y;5.02
25/05/1998;Swedish Government Bonds;SE GVB 7Y;4.97
26/05/1998;Swedish Government Bonds;SE GVB 7Y;4.93
27/05/1998;Swedish Government Bonds;SE GVB 7Y;4.91
28/05/1998;Swedish Government Bonds;SE GVB 7Y;4.94
29/05/1998;Swedish Government Bonds;SE GVB 7Y;4.91
02/06/1998;Swedish Government Bonds;SE GVB 7Y;4.89
03/06/1998;Swedish Government Bonds;SE GVB 7Y;4.90
04/06/1998;Swedish Government Bonds;SE GVB 7Y;4.85
05/06/1998;Swedish Government Bonds;SE GVB 7Y;4.85
08/06/1998;Swedish Government Bonds;SE GVB 7Y;4.85
09/06/1998;Swedish Government Bonds;SE GVB 7Y;4.87
10/06/1998;Swedish Government Bonds;SE GVB 7Y;4.81
11/06/1998;Swedish Government Bonds;SE GVB 7Y;4.75
12/06/1998;Swedish Government Bonds;SE GVB 7Y;4.79
15/06/1998;Swedish Government Bonds;SE GVB 7Y;4.76
16/06/1998;Swedish Government Bonds;SE GVB 7Y;4.79
17/06/1998;Swedish Government Bonds;SE GVB 7Y;4.84
18/06/1998;Swedish Government Bonds;SE GVB 7Y;4.84
22/06/1998;Swedish Government Bonds;SE GVB 7Y;4.82
23/06/1998;Swedish Government Bonds;SE GVB 7Y;4.82
24/06/1998;Swedish Government Bonds;SE GVB 7Y;4.80
25/06/1998;Swedish Government Bonds;SE GVB 7Y;4.79
26/06/1998;Swedish Government Bonds;SE GVB 7Y;4.77
29/06/1998;Swedish Government Bonds;SE GVB 7Y;4.76
30/06/1998;Swedish Government Bonds;SE GVB 7Y;4.785
