Date;Group;Series;Value
02/01/2008;Swedish Government Bonds;SE GVB 7Y;4.174
03/01/2008;Swedish Government Bonds;SE GVB 7Y;4.145
04/01/2008;Swedish Government Bonds;SE GVB 7Y;4.077
07/01/2008;Swedish Government Bonds;SE GVB 7Y;4.063
08/01/2008;Swedish Government Bonds;SE GVB 7Y;4.106
09/01/2008;Swedish Government Bonds;SE GVB 7Y;4.044
10/01/2008;Swedish Government Bonds;SE GVB 7Y;4.069
11/01/2008;Swedish Government Bonds;SE GVB 7Y;4.067
14/01/2008;Swedish Government Bonds;SE GVB 7Y;3.989
15/01/2008;Swedish Government Bonds;SE GVB 7Y;3.965
16/01/2008;Swedish Government Bonds;SE GVB 7Y;3.932
17/01/2008;Swedish Government Bonds;SE GVB 7Y;3.93
18/01/2008;Swedish Government Bonds;SE GVB 7Y;3.925
21/01/2008;Swedish Government Bonds;SE GVB 7Y;3.819
22/01/2008;Swedish Government Bonds;SE GVB 7Y;3.821
23/01/2008;Swedish Government Bonds;SE GVB 7Y;3.747
24/01/2008;Swedish Government Bonds;SE GVB 7Y;3.875
25/01/2008;Swedish Government Bonds;SE GVB 7Y;3.899
28/01/2008;Swedish Government Bonds;SE GVB 7Y;3.83
29/01/2008;Swedish Government Bonds;SE GVB 7Y;3.861
30/01/2008;Swedish Government Bonds;SE GVB 7Y;3.901
31/01/2008;Swedish Government Bonds;SE GVB 7Y;3.792
01/02/2008;Swedish Government Bonds;SE GVB 7Y;3.83
04/02/2008;Swedish Government Bonds;SE GVB 7Y;3.845
05/02/2008;Swedish Government Bonds;SE GVB 7Y;3.748
06/02/2008;Swedish Government Bonds;SE GVB 7Y;3.771
07/02/2008;Swedish Government Bonds;SE GVB 7Y;3.723
08/02/2008;Swedish Government Bonds;SE GVB 7Y;3.702
11/02/2008;Swedish Government Bonds;SE GVB 7Y;3.693
12/02/2008;Swedish Government Bonds;SE GVB 7Y;3.781
13/02/2008;Swedish Government Bonds;SE GVB 7Y;3.879
14/02/2008;Swedish Government Bonds;SE GVB 7Y;3.951
15/02/2008;Swedish Government Bonds;SE GVB 7Y;3.889
18/02/2008;Swedish Government Bonds;SE GVB 7Y;3.925
19/02/2008;Swedish Government Bonds;SE GVB 7Y;3.893
20/02/2008;Swedish Government Bonds;SE GVB 7Y;3.924
21/02/2008;Swedish Government Bonds;SE GVB 7Y;3.975
22/02/2008;Swedish Government Bonds;SE GVB 7Y;3.915
25/02/2008;Swedish Government Bonds;SE GVB 7Y;3.926
26/02/2008;Swedish Government Bonds;SE GVB 7Y;3.951
27/02/2008;Swedish Government Bonds;SE GVB 7Y;3.958
28/02/2008;Swedish Government Bonds;SE GVB 7Y;3.927
29/02/2008;Swedish Government Bonds;SE GVB 7Y;3.826
03/03/2008;Swedish Government Bonds;SE GVB 7Y;3.87
04/03/2008;Swedish Government Bonds;SE GVB 7Y;3.818
05/03/2008;Swedish Government Bonds;SE GVB 7Y;3.865
06/03/2008;Swedish Government Bonds;SE GVB 7Y;3.833
07/03/2008;Swedish Government Bonds;SE GVB 7Y;3.81
10/03/2008;Swedish Government Bonds;SE GVB 7Y;3.775
11/03/2008;Swedish Government Bonds;SE GVB 7Y;3.813
12/03/2008;Swedish Government Bonds;SE GVB 7Y;3.826
13/03/2008;Swedish Government Bonds;SE GVB 7Y;3.746
14/03/2008;Swedish Government Bonds;SE GVB 7Y;3.715
17/03/2008;Swedish Government Bonds;SE GVB 7Y;3.656
18/03/2008;Swedish Government Bonds;SE GVB 7Y;3.729
19/03/2008;Swedish Government Bonds;SE GVB 7Y;3.775
20/03/2008;Swedish Government Bonds;SE GVB 7Y;3.74
25/03/2008;Swedish Government Bonds;SE GVB 7Y;3.886
26/03/2008;Swedish Government Bonds;SE GVB 7Y;3.885
27/03/2008;Swedish Government Bonds;SE GVB 7Y;3.877
28/03/2008;Swedish Government Bonds;SE GVB 7Y;3.919
31/03/2008;Swedish Government Bonds;SE GVB 7Y;3.865
01/04/2008;Swedish Government Bonds;SE GVB 7Y;3.922
02/04/2008;Swedish Government Bonds;SE GVB 7Y;3.927
03/04/2008;Swedish Government Bonds;SE GVB 7Y;3.91
04/04/2008;Swedish Government Bonds;SE GVB 7Y;3.872
07/04/2008;Swedish Government Bonds;SE GVB 7Y;3.916
08/04/2008;Swedish Government Bonds;SE GVB 7Y;3.931
09/04/2008;Swedish Government Bonds;SE GVB 7Y;3.932
10/04/2008;Swedish Government Bonds;SE GVB 7Y;3.873
11/04/2008;Swedish Government Bonds;SE GVB 7Y;3.848
14/04/2008;Swedish Government Bonds;SE GVB 7Y;3.892
15/04/2008;Swedish Government Bonds;SE GVB 7Y;3.924
16/04/2008;Swedish Government Bonds;SE GVB 7Y;3.987
17/04/2008;Swedish Government Bonds;SE GVB 7Y;4.059
18/04/2008;Swedish Government Bonds;SE GVB 7Y;4.147
21/04/2008;Swedish Government Bonds;SE GVB 7Y;4.087
22/04/2008;Swedish Government Bonds;SE GVB 7Y;4.15
23/04/2008;Swedish Government Bonds;SE GVB 7Y;4.135
24/04/2008;Swedish Government Bonds;SE GVB 7Y;4.133
25/04/2008;Swedish Government Bonds;SE GVB 7Y;4.16
28/04/2008;Swedish Government Bonds;SE GVB 7Y;4.147
29/04/2008;Swedish Government Bonds;SE GVB 7Y;4.07
30/04/2008;Swedish Government Bonds;SE GVB 7Y;4.033
02/05/2008;Swedish Government Bonds;SE GVB 7Y;4.09
05/05/2008;Swedish Government Bonds;SE GVB 7Y;4.075
06/05/2008;Swedish Government Bonds;SE GVB 7Y;4.008
