AUD curncy,1998-1-12,0.6421
AUD10Y curncy,1998-1-12,-110
CAD curncy,1998-1-12,1.4344
ADBS10 curncy,1998-1-12,2
ADSWAP10 curncy,1998-1-12,6.12
CHF curncy,1998-1-12,1.4768
CAD10Y curncy,1998-1-12,
CDSW10 curncy,1998-1-12,5.535
GBP curncy,1998-1-12,1.6225
CDBS10 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF10Y curncy,1998-1-12,-3005.5
SFBS10 curncy,1998-1-12,
SFSW10 curncy,1998-1-12,3.5
NOK curncy,1998-1-12,7.5273
GBP10Y curncy,1998-1-12,-562.5
BPBS10 curncy,1998-1-12,0.875
NZD curncy,1998-1-12,0.5681
BPSW10 curncy,1998-1-12,6.38
SEK curncy,1998-1-12,8.0437
JPY10Y curncy,1998-1-12,-4179.5
JYBS10 curncy,1998-1-12,-14
JYSW10 curncy,1998-1-12,2.18
NOK10Y curncy,1998-1-12,
NKBS10 curncy,1998-1-12,
USSWAP10 curncy,1998-1-12,5.895
DEM curncy,1998-1-12,1.8205
NZD10Y curncy,1998-1-12,
NKSW10 curncy,1998-1-12,5.685
NDBS10 curncy,1998-1-12,
SEK10Y curncy,1998-1-12,
NDSWAP10 curncy,1998-1-12,7.425
DEM10Y curncy,1998-1-12,
SKBS10 curncy,1998-1-12,
SKSW10 curncy,1998-1-12,5.92
DMBS10 curncy,1998-1-12,1.75
DMSW10 curncy,1998-1-12,5.345
AUD curncy,1998-2-12,0.6746
ADBS10 curncy,1998-2-12,3
ADSWAP10 curncy,1998-2-12,6.41
AUD10Y curncy,1998-2-12,-300
CAD curncy,1998-2-12,1.4376
CHF curncy,1998-2-12,1.4538
CDSW10 curncy,1998-2-12,5.635
CAD10Y curncy,1998-2-12,
CDBS10 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
JPY curncy,1998-2-12,124.69
SFSW10 curncy,1998-2-12,3.22
CHF10Y curncy,1998-2-12,-3407
SFBS10 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
BPSW10 curncy,1998-2-12,6.38
GBP10Y curncy,1998-2-12,-495.5
NZD curncy,1998-2-12,0.5828
BPBS10 curncy,1998-2-12,0.875
SEK curncy,1998-2-12,8.0583
JPY10Y curncy,1998-2-12,-3764.5
JYBS10 curncy,1998-2-12,-14
JYSW10 curncy,1998-2-12,2.355
NKSW10 curncy,1998-2-12,5.575
NOK10Y curncy,1998-2-12,
NKBS10 curncy,1998-2-12,
USSWAP10 curncy,1998-2-12,6.005
DEM curncy,1998-2-12,1.8086
NDBS10 curncy,1998-2-12,
NZD10Y curncy,1998-2-12,
NDSWAP10 curncy,1998-2-12,7.62
DEM10Y curncy,1998-2-12,
SEK10Y curncy,1998-2-12,
SKBS10 curncy,1998-2-12,
DMBS10 curncy,1998-2-12,1.5
SKSW10 curncy,1998-2-12,5.88
DMSW10 curncy,1998-2-12,5.235
AUD curncy,1998-3-18,0.6619
AUD10Y curncy,1998-3-18,-130
ADSWAP10 curncy,1998-3-18,6.25
