AUD curncy,1998-1-12,0.6421
AUD2Y curncy,1998-1-12,43
CAD curncy,1998-1-12,1.4344
CHF curncy,1998-1-12,1.4768
ADSWAP2 curncy,1998-1-12,5.2
CAD2Y curncy,1998-1-12,-145
GBP curncy,1998-1-12,1.6225
ADBS2 curncy,1998-1-12,4
CHF2Y curncy,1998-1-12,-1025
JPY curncy,1998-1-12,132.63
CDSW2 curncy,1998-1-12,5.07
NOK curncy,1998-1-12,7.5273
GBP2Y curncy,1998-1-12,-426.5
NZD curncy,1998-1-12,0.5681
CDBS2 curncy,1998-1-12,
SFSW2 curncy,1998-1-12,1.81
SEK curncy,1998-1-12,8.0437
JPY2Y curncy,1998-1-12,-1240
BPSW2 curncy,1998-1-12,6.945
NOK2Y curncy,1998-1-12,-1214
SFBS2 curncy,1998-1-12,
USSWAP2 curncy,1998-1-12,5.555
DEM curncy,1998-1-12,1.8205
JYSW2 curncy,1998-1-12,0.73
NZD2Y curncy,1998-1-12,-285
SEK2Y curncy,1998-1-12,-398
NKSW2 curncy,1998-1-12,4.785
DEM2Y curncy,1998-1-12,-507.5
BPBS2 curncy,1998-1-12,0.5
DMBS2 curncy,1998-1-12,2
JYBS2 curncy,1998-1-12,-17.5
NDSWAP2 curncy,1998-1-12,8.3
DMSW2 curncy,1998-1-12,4.105
SKSW2 curncy,1998-1-12,5.335
NKBS2 curncy,1998-1-12,
NDBS2 curncy,1998-1-12,
SKBS2 curncy,1998-1-12,
AUD curncy,1998-2-12,0.6746
AUD2Y curncy,1998-2-12,41.5
ADSWAP2 curncy,1998-2-12,5.34
ADBS2 curncy,1998-2-12,4
CAD curncy,1998-2-12,1.4376
CAD2Y curncy,1998-2-12,-130
CHF curncy,1998-2-12,1.4538
CDSW2 curncy,1998-2-12,5.31
CDBS2 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
CHF2Y curncy,1998-2-12,-1098
JPY curncy,1998-2-12,124.69
SFSW2 curncy,1998-2-12,1.63
SFBS2 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
GBP2Y curncy,1998-2-12,-412.5
BPSW2 curncy,1998-2-12,6.995
BPBS2 curncy,1998-2-12,0.5
NZD curncy,1998-2-12,0.5828
JPY2Y curncy,1998-2-12,-1125
JYSW2 curncy,1998-2-12,0.97
SEK curncy,1998-2-12,8.0583
JYBS2 curncy,1998-2-12,-17
NKSW2 curncy,1998-2-12,4.725
NOK2Y curncy,1998-2-12,-1296
NKBS2 curncy,1998-2-12,
USSWAP2 curncy,1998-2-12,5.695
NDSWAP2 curncy,1998-2-12,8.22
NZD2Y curncy,1998-2-12,-270
DEM curncy,1998-2-12,1.8086
NDBS2 curncy,1998-2-12,
SKSW2 curncy,1998-2-12,5.29
DEM2Y curncy,1998-2-12,-557.5
SEK2Y curncy,1998-2-12,-626
SKBS2 curncy,1998-2-12,
DMBS2 curncy,1998-2-12,2
DMSW2 curncy,1998-2-12,4.085
AUD curncy,1998-3-18,0.6619
AUD2Y curncy,1998-3-18,89.5
ADBS2 curncy,1998-3-18,3.5
ADSWAP2 curncy,1998-3-18,5.17
CAD curncy,1998-3-18,1.4188
CHF curncy,1998-3-18,1.4918
CAD2Y curncy,1998-3-18,-150
CDSW2 curncy,1998-3-18,5.18
CDBS2 curncy,1998-3-18,
GBP curncy,1998-3-18,1.6699
