ADBS20 curncy,1998-5-13,
CAD20Y curncy,1998-5-13,
CHF curncy,1998-5-13,1.4806
CHF20Y curncy,1998-5-13,
CDBS20 curncy,1998-5-13,
CDSW20 curncy,1998-5-13,
GBP curncy,1998-5-13,1.6311
GBP20Y curncy,1998-5-13,
JPY curncy,1998-5-13,134.13
SFBS20 curncy,1998-5-13,
JPY20Y curncy,1998-5-13,
NOK curncy,1998-5-13,7.462
SFSW20 curncy,1998-5-13,4.19
BPBS20 curncy,1998-5-13,
NZD curncy,1998-5-13,0.5344
NOK20Y curncy,1998-5-13,
SEK curncy,1998-5-13,7.6665
BPSW20 curncy,1998-5-13,6.255
NZD20Y curncy,1998-5-13,
JYBS20 curncy,1998-5-13,
SEK20Y curncy,1998-5-13,
JYSW20 curncy,1998-5-13,2.56
USSWAP20 curncy,1998-5-13,6.3
NKBS20 curncy,1998-5-13,
DEM curncy,1998-5-13,1.7784
NKSW20 curncy,1998-5-13,
NDBS20 curncy,1998-5-13,
NDSWAP20 curncy,1998-5-13,
SKBS20 curncy,1998-5-13,
DMBS20 curncy,1998-5-13,
SKSW20 curncy,1998-5-13,
DMSW20 curncy,1998-5-13,5.605
AUD curncy,1998-6-11,0.5859
AUD20Y curncy,1998-6-11,
ADSWAP20 curncy,1998-6-11,6.35
CAD curncy,1998-6-11,1.4695
ADBS20 curncy,1998-6-11,
CAD20Y curncy,1998-6-11,
CDSW20 curncy,1998-6-11,
CHF curncy,1998-6-11,1.496
CHF20Y curncy,1998-6-11,
SFSW20 curncy,1998-6-11,4.16
GBP curncy,1998-6-11,1.6278
CDBS20 curncy,1998-6-11,
GBP20Y curncy,1998-6-11,
JPY curncy,1998-6-11,144.05
BPSW20 curncy,1998-6-11,5.98
SFBS20 curncy,1998-6-11,
JPY20Y curncy,1998-6-11,
NOK curncy,1998-6-11,7.655
NZD curncy,1998-6-11,0.4954
NOK20Y curncy,1998-6-11,
JYSW20 curncy,1998-6-11,2.465
BPBS20 curncy,1998-6-11,
SEK curncy,1998-6-11,8.0233
NZD20Y curncy,1998-6-11,
JYBS20 curncy,1998-6-11,
NKSW20 curncy,1998-6-11,
SEK20Y curncy,1998-6-11,
USSWAP20 curncy,1998-6-11,6.09
NKBS20 curncy,1998-6-11,
DEM curncy,1998-6-11,1.8058
NDSWAP20 curncy,1998-6-11,
NDBS20 curncy,1998-6-11,
SKSW20 curncy,1998-6-11,
DMBS20 curncy,1998-6-11,
SKBS20 curncy,1998-6-11,
DMSW20 curncy,1998-6-11,5.385
AUD curncy,1998-7-8,0.618
AUD20Y curncy,1998-7-8,
ADBS20 curncy,1998-7-8,
ADSWAP20 curncy,1998-7-8,6.08
CAD curncy,1998-7-8,1.4715
CAD20Y curncy,1998-7-8,
CHF curncy,1998-7-8,1.5287
CHF20Y curncy,1998-7-8,
CDBS20 curncy,1998-7-8,
CDSW20 curncy,1998-7-8,
GBP curncy,1998-7-8,1.6378
GBP20Y curncy,1998-7-8,
JPY curncy,1998-7-8,139.4
SFBS20 curncy,1998-7-8,
JPY20Y curncy,1998-7-8,
NOK curncy,1998-7-8,7.7323
SFSW20 curncy,1998-7-8,4.32
NZD curncy,1998-7-8,0.5175
NOK20Y curncy,1998-7-8,
BPBS20 curncy,1998-7-8,
BPSW20 curncy,1998-7-8,6.17
NZD20Y curncy,1998-7-8,
SEK curncy,1998-7-8,8.0663
JYSW20 curncy,1998-7-8,2.6
JYBS20 curncy,1998-7-8,
SEK20Y curncy,1998-7-8,
NKBS20 curncy,1998-7-8,
USSWAP20 curncy,1998-7-8,6.1
NKSW20 curncy,1998-7-8,
DEM curncy,1998-7-8,1.8184
NDBS20 curncy,1998-7-8,
NDSWAP20 curncy,1998-7-8,
SKBS20 curncy,1998-7-8,
DMBS20 curncy,1998-7-8,
SKSW20 curncy,1998-7-8,
