AUD curncy,1998-1-12,0.6421
ADSWAP5 curncy,1998-1-12,5.81
AUD5Y curncy,1998-1-12,30
CAD curncy,1998-1-12,1.4344
ADBS5 curncy,1998-1-12,2
CHF curncy,1998-1-12,1.4768
CAD5Y curncy,1998-1-12,
CDSW5 curncy,1998-1-12,5.31
GBP curncy,1998-1-12,1.6225
CDBS5 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF5Y curncy,1998-1-12,-1979
SFBS5 curncy,1998-1-12,
SFSW5 curncy,1998-1-12,2.67
NOK curncy,1998-1-12,7.5273
GBP5Y curncy,1998-1-12,-629.5
NZD curncy,1998-1-12,0.5681
BPBS5 curncy,1998-1-12,0.875
BPSW5 curncy,1998-1-12,6.52
SEK curncy,1998-1-12,8.0437
JPY5Y curncy,1998-1-12,-2578
JYSW5 curncy,1998-1-12,1.405
JYBS5 curncy,1998-1-12,-14.5
NOK5Y curncy,1998-1-12,-2100
USSWAP5 curncy,1998-1-12,5.69
NKSW5 curncy,1998-1-12,5.295
DEM curncy,1998-1-12,1.8205
NKBS5 curncy,1998-1-12,
NZD5Y curncy,1998-1-12,-536
DEM5Y curncy,1998-1-12,-822.5
NDSWAP5 curncy,1998-1-12,7.825
NDBS5 curncy,1998-1-12,
SEK5Y curncy,1998-1-12,
DMBS5 curncy,1998-1-12,1.875
SKSW5 curncy,1998-1-12,5.66
SKBS5 curncy,1998-1-12,
DMSW5 curncy,1998-1-12,4.755
AUD curncy,1998-2-12,0.6746
AUD5Y curncy,1998-2-12,-60
ADSWAP5 curncy,1998-2-12,5.96
CAD curncy,1998-2-12,1.4376
ADBS5 curncy,1998-2-12,3
CHF curncy,1998-2-12,1.4538
CAD5Y curncy,1998-2-12,-290
CDBS5 curncy,1998-2-12,
CDSW5 curncy,1998-2-12,5.47
GBP curncy,1998-2-12,1.6395
JPY curncy,1998-2-12,124.69
CHF5Y curncy,1998-2-12,-2220.5
SFBS5 curncy,1998-2-12,
SFSW5 curncy,1998-2-12,2.39
NOK curncy,1998-2-12,7.5213
GBP5Y curncy,1998-2-12,-548
NZD curncy,1998-2-12,0.5828
BPBS5 curncy,1998-2-12,0.875
BPSW5 curncy,1998-2-12,6.6
SEK curncy,1998-2-12,8.0583
JPY5Y curncy,1998-2-12,-2342
JYBS5 curncy,1998-2-12,-15
JYSW5 curncy,1998-2-12,1.64
NOK5Y curncy,1998-2-12,-2500
NKBS5 curncy,1998-2-12,
USSWAP5 curncy,1998-2-12,5.855
NKSW5 curncy,1998-2-12,5.225
NZD5Y curncy,1998-2-12,-528
DEM curncy,1998-2-12,1.8086
NDBS5 curncy,1998-2-12,
DEM5Y curncy,1998-2-12,-991.5
NDSWAP5 curncy,1998-2-12,7.905
SEK5Y curncy,1998-2-12,
DMBS5 curncy,1998-2-12,1.5
SKBS5 curncy,1998-2-12,
SKSW5 curncy,1998-2-12,5.63
DMSW5 curncy,1998-2-12,4.685
AUD curncy,1998-3-18,0.6619
ADBS5 curncy,1998-3-18,3
AUD5Y curncy,1998-3-18,5
ADSWAP5 curncy,1998-3-18,5.87
CAD curncy,1998-3-18,1.4188
CHF curncy,1998-3-18,1.4918
CAD5Y curncy,1998-3-18,-360
CDBS5 curncy,1998-3-18,
CDSW5 curncy,1998-3-18,5.37
GBP curncy,1998-3-18,1.6699
CHF5Y curncy,1998-3-18,-2291
SFSW5 curncy,1998-3-18,2.48
SFBS5 curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
NOK curncy,1998-3-18,7.6135
GBP5Y curncy,1998-3-18,-525
