AUD curncy,1998-1-12,0.6421
ADSWAP12 curncy,1998-1-12,6.2
CAD curncy,1998-1-12,1.4344
ADBS12 curncy,1998-1-12,
AUD12Y curncy,1998-1-12,
CHF curncy,1998-1-12,1.4768
CDSW12 curncy,1998-1-12,
CDBS12 curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CAD12Y curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
SFBS12 curncy,1998-1-12,
SFSW12 curncy,1998-1-12,
CHF12Y curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
BPBS12 curncy,1998-1-12,
NZD curncy,1998-1-12,0.5681
GBP12Y curncy,1998-1-12,
BPSW12 curncy,1998-1-12,6.36
SEK curncy,1998-1-12,8.0437
JYBS12 curncy,1998-1-12,
JPY12Y curncy,1998-1-12,
JYSW12 curncy,1998-1-12,2.35
NOK12Y curncy,1998-1-12,
USSWAP12 curncy,1998-1-12,
NKBS12 curncy,1998-1-12,
NKSW12 curncy,1998-1-12,
DEM curncy,1998-1-12,1.8205
NZD12Y curncy,1998-1-12,
NDSWAP12 curncy,1998-1-12,
NDBS12 curncy,1998-1-12,
SEK12Y curncy,1998-1-12,
SKBS12 curncy,1998-1-12,
SKSW12 curncy,1998-1-12,
DMBS12 curncy,1998-1-12,
DMSW12 curncy,1998-1-12,
AUD curncy,1998-2-12,0.6746
AUD12Y curncy,1998-2-12,
ADBS12 curncy,1998-2-12,
ADSWAP12 curncy,1998-2-12,6.49
CAD curncy,1998-2-12,1.4376
CAD12Y curncy,1998-2-12,
CHF curncy,1998-2-12,1.4538
CDBS12 curncy,1998-2-12,
CHF12Y curncy,1998-2-12,
CDSW12 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
JPY curncy,1998-2-12,124.69
GBP12Y curncy,1998-2-12,
SFBS12 curncy,1998-2-12,
SFSW12 curncy,1998-2-12,3.39
NOK curncy,1998-2-12,7.5213
JPY12Y curncy,1998-2-12,
BPBS12 curncy,1998-2-12,
NZD curncy,1998-2-12,0.5828
NOK12Y curncy,1998-2-12,
BPSW12 curncy,1998-2-12,6.37
SEK curncy,1998-2-12,8.0583
JYBS12 curncy,1998-2-12,
NZD12Y curncy,1998-2-12,
JYSW12 curncy,1998-2-12,2.52
NKBS12 curncy,1998-2-12,
SEK12Y curncy,1998-2-12,
USSWAP12 curncy,1998-2-12,
NKSW12 curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NDBS12 curncy,1998-2-12,
NDSWAP12 curncy,1998-2-12,
SKBS12 curncy,1998-2-12,
SKSW12 curncy,1998-2-12,
DMBS12 curncy,1998-2-12,
DMSW12 curncy,1998-2-12,5.39
AUD curncy,1998-3-18,0.6619
AUD12Y curncy,1998-3-18,
ADBS12 curncy,1998-3-18,
CAD curncy,1998-3-18,1.4188
ADSWAP12 curncy,1998-3-18,6.31
CAD12Y curncy,1998-3-18,
CHF curncy,1998-3-18,1.4918
CDBS12 curncy,1998-3-18,
CDSW12 curncy,1998-3-18,
CHF12Y curncy,1998-3-18,
