AUD curncy,1998-1-12,0.6421
US0006M curncy,1998-1-12,5.5625
AUD6M curncy,1998-1-12,20.3
BBSW6M curncy,1998-1-12,4.92
CAD curncy,1998-1-12,1.4344
DEM curncy,1998-1-12,1.8205
CHF curncy,1998-1-12,1.4768
CAD6M curncy,1998-1-12,-57.55
CDOR06 curncy,1998-1-12,4.694
DEM6M curncy,1998-1-12,-171
GBP curncy,1998-1-12,1.6225
CHF6M curncy,1998-1-12,-300.2
SF0006M curncy,1998-1-12,1.40625
DM0006M curncy,1998-1-12,3.625
JPY curncy,1998-1-12,132.63
BP0006M curncy,1998-1-12,7.48828
NOK curncy,1998-1-12,7.5273
GBP6M curncy,1998-1-12,-137.75
NZD curncy,1998-1-12,0.5681
JY0006M curncy,1998-1-12,0.71484
SEK curncy,1998-1-12,8.0437
JPY6M curncy,1998-1-12,-330
NIBOR6M curncy,1998-1-12,3.97
NDBB6M curncy,1998-1-12,8.94
NOK6M curncy,1998-1-12,-610
STBB6M curncy,1998-1-12,
NZD6M curncy,1998-1-12,-87
SEK6M curncy,1998-1-12,-305
AUD curncy,1998-2-12,0.6746
US0006M curncy,1998-2-12,5.65625
AUD6M curncy,1998-2-12,22.3
BBSW6M curncy,1998-2-12,4.93
CAD curncy,1998-2-12,1.4376
DEM curncy,1998-2-12,1.8086
CHF curncy,1998-2-12,1.4538
CAD6M curncy,1998-2-12,-41.73
CDOR06 curncy,1998-2-12,5.08
DEM6M curncy,1998-2-12,-179.5
GBP curncy,1998-2-12,1.6395
SF0006M curncy,1998-2-12,1.26563
CHF6M curncy,1998-2-12,-312.05
JPY curncy,1998-2-12,124.69
DM0006M curncy,1998-2-12,3.61328
BP0006M curncy,1998-2-12,7.5
NOK curncy,1998-2-12,7.5213
GBP6M curncy,1998-2-12,-145
JY0006M curncy,1998-2-12,0.82031
NZD curncy,1998-2-12,0.5828
SEK curncy,1998-2-12,8.0583
NIBOR6M curncy,1998-2-12,4
JPY6M curncy,1998-2-12,-306.5
NDBB6M curncy,1998-2-12,8.84
NOK6M curncy,1998-2-12,-615
STBB6M curncy,1998-2-12,
NZD6M curncy,1998-2-12,-85.5
SEK6M curncy,1998-2-12,-334
AUD curncy,1998-3-18,0.6619
AUD6M curncy,1998-3-18,26.8
BBSW6M curncy,1998-3-18,4.9033
US0006M curncy,1998-3-18,5.6875
CAD curncy,1998-3-18,1.4188
DEM curncy,1998-3-18,1.8285
CAD6M curncy,1998-3-18,-55.63
CHF curncy,1998-3-18,1.4918
CDOR06 curncy,1998-3-18,4.952
DEM6M curncy,1998-3-18,-188.5
GBP curncy,1998-3-18,1.6699
CHF6M curncy,1998-3-18,-331.67
SF0006M curncy,1998-3-18,1.23438
DM0006M curncy,1998-3-18,3.5625
JPY curncy,1998-3-18,130.04
GBP6M curncy,1998-3-18,-148.63
BP0006M curncy,1998-3-18,7.5625
NOK curncy,1998-3-18,7.6135
JPY6M curncy,1998-3-18,-331.5
JY0006M curncy,1998-3-18,0.6875
NZD curncy,1998-3-18,0.5629
SEK curncy,1998-3-18,7.9525
NIBOR6M curncy,1998-3-18,4.3
NOK6M curncy,1998-3-18,-530
NDBB6M curncy,1998-3-18,9.095
NZD6M curncy,1998-3-18,-88.5
STBB6M curncy,1998-3-18,
SEK6M curncy,1998-3-18,-422
AUD curncy,1998-4-21,0.6515
BBSW6M curncy,1998-4-21,4.935
US0006M curncy,1998-4-21,5.74609
AUD6M curncy,1998-4-21,27
CAD curncy,1998-4-21,1.4318
DEM curncy,1998-4-21,1.7858
CDOR06 curncy,1998-4-21,5.056
CAD6M curncy,1998-4-21,-52.76
CHF curncy,1998-4-21,1.4821
DEM6M curncy,1998-4-21,-175
GBP curncy,1998-4-21,1.6737
SF0006M curncy,1998-4-21,1.58984
CHF6M curncy,1998-4-21,-304.23
DM0006M curncy,1998-4-21,3.75
JPY curncy,1998-4-21,131.3
BP0006M curncy,1998-4-21,7.5
NOK curncy,1998-4-21,7.427
GBP6M curncy,1998-4-21,-141.5
JY0006M curncy,1998-4-21,0.66016
NZD curncy,1998-4-21,0.5586
NIBOR6M curncy,1998-4-21,4.34
SEK curncy,1998-4-21,7.6623
JPY6M curncy,1998-4-21,-341.5
NDBB6M curncy,1998-4-21,8.63
STBB6M curncy,1998-4-21,
NOK6M curncy,1998-4-21,-530
NZD6M curncy,1998-4-21,-77
SEK6M curncy,1998-4-21,-408
AUD curncy,1998-5-13,0.6309
BBSW6M curncy,1998-5-13,4.92
US0006M curncy,1998-5-13,5.75781
AUD6M curncy,1998-5-13,26.35
CAD curncy,1998-5-13,1.4448
DEM curncy,1998-5-13,1.7784
CHF curncy,1998-5-13,1.4806
CDOR06 curncy,1998-5-13,5.17
CAD6M curncy,1998-5-13,-45.87
DEM6M curncy,1998-5-13,-176.5
GBP curncy,1998-5-13,1.6311
SF0006M curncy,1998-5-13,1.71875
