AUD curncy,1998-1-12,0.6421
AUD9Y curncy,1998-1-12,
ADBS9 curncy,1998-1-12,
CAD curncy,1998-1-12,1.4344
ADSWAP9 curncy,1998-1-12,
CHF curncy,1998-1-12,1.4768
CAD9Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW9 curncy,1998-1-12,5.506
CDBS9 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF9Y curncy,1998-1-12,
SFSW9 curncy,1998-1-12,3.4
SFBS9 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
GBP9Y curncy,1998-1-12,
NZD curncy,1998-1-12,0.5681
BPSW9 curncy,1998-1-12,6.39
BPBS9 curncy,1998-1-12,
JPY9Y curncy,1998-1-12,-3790
SEK curncy,1998-1-12,8.0437
JYSW9 curncy,1998-1-12,2.07
JYBS9 curncy,1998-1-12,-13.5
NOK9Y curncy,1998-1-12,
USSWAP9 curncy,1998-1-12,5.865
NKSW9 curncy,1998-1-12,
DEM curncy,1998-1-12,1.8205
NKBS9 curncy,1998-1-12,
NZD9Y curncy,1998-1-12,
NDBS9 curncy,1998-1-12,
NDSWAP9 curncy,1998-1-12,
SEK9Y curncy,1998-1-12,
DEM9Y curncy,1998-1-12,
SKSW9 curncy,1998-1-12,5.89
SKBS9 curncy,1998-1-12,
DMSW9 curncy,1998-1-12,5.265
AUD curncy,1998-2-12,0.6746
AUD9Y curncy,1998-2-12,
ADSWAP9 curncy,1998-2-12,
CAD curncy,1998-2-12,1.4376
ADBS9 curncy,1998-2-12,
CHF curncy,1998-2-12,1.4538
CAD9Y curncy,1998-2-12,
CDBS9 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
CDSW9 curncy,1998-2-12,5.6265
CHF9Y curncy,1998-2-12,
JPY curncy,1998-2-12,124.69
SFSW9 curncy,1998-2-12,3.11
GBP9Y curncy,1998-2-12,
SFBS9 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
BPSW9 curncy,1998-2-12,6.4
NZD curncy,1998-2-12,0.5828
BPBS9 curncy,1998-2-12,
JPY9Y curncy,1998-2-12,-3536
SEK curncy,1998-2-12,8.0583
JYBS9 curncy,1998-2-12,-14
