AUD curncy,1998-1-12,0.6421
AUD4Y curncy,1998-1-12,36
ADBS4 curncy,1998-1-12,3
CAD curncy,1998-1-12,1.4344
ADSWAP4 curncy,1998-1-12,5.68
CHF curncy,1998-1-12,1.4768
CAD4Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW4 curncy,1998-1-12,5.24
CDBS4 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF4Y curncy,1998-1-12,-1730.5
SFSW4 curncy,1998-1-12,2.42
NOK curncy,1998-1-12,7.5273
GBP4Y curncy,1998-1-12,-593
NZD curncy,1998-1-12,0.5681
SFBS4 curncy,1998-1-12,
BPSW4 curncy,1998-1-12,6.61
SEK curncy,1998-1-12,8.0437
JPY4Y curncy,1998-1-12,-2183.5
JYSW4 curncy,1998-1-12,1.185
BPBS4 curncy,1998-1-12,0.875
USSWAP4 curncy,1998-1-12,5.655
NOK4Y curncy,1998-1-12,-1900
DEM curncy,1998-1-12,1.8205
NKSW4 curncy,1998-1-12,5.185
JYBS4 curncy,1998-1-12,-14.5
NZD4Y curncy,1998-1-12,-464
NKBS4 curncy,1998-1-12,
NDSWAP4 curncy,1998-1-12,7.965
SEK4Y curncy,1998-1-12,
DEM4Y curncy,1998-1-12,
DMBS4 curncy,1998-1-12,1.875
SKSW4 curncy,1998-1-12,5.57
NDBS4 curncy,1998-1-12,
SKBS4 curncy,1998-1-12,
DMSW4 curncy,1998-1-12,4.565
AUD curncy,1998-2-12,0.6746
AUD4Y curncy,1998-2-12,-24
ADBS4 curncy,1998-2-12,3
ADSWAP4 curncy,1998-2-12,5.8
CAD curncy,1998-2-12,1.4376
CHF curncy,1998-2-12,1.4538
CAD4Y curncy,1998-2-12,
CDBS4 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
CDSW4 curncy,1998-2-12,5.41
CHF4Y curncy,1998-2-12,-1909.5
JPY curncy,1998-2-12,124.69
SFBS4 curncy,1998-2-12,
SFSW4 curncy,1998-2-12,2.17
NOK curncy,1998-2-12,7.5213
GBP4Y curncy,1998-2-12,-511
BPBS4 curncy,1998-2-12,0.875
NZD curncy,1998-2-12,0.5828
BPSW4 curncy,1998-2-12,6.67
JPY4Y curncy,1998-2-12,-1980
SEK curncy,1998-2-12,8.0583
JYBS4 curncy,1998-2-12,-15
JYSW4 curncy,1998-2-12,1.425
NOK4Y curncy,1998-2-12,-2300
USSWAP4 curncy,1998-2-12,5.805
NKSW4 curncy,1998-2-12,5.095
DEM curncy,1998-2-12,1.8086
NKBS4 curncy,1998-2-12,
NZD4Y curncy,1998-2-12,-454
DEM4Y curncy,1998-2-12,
NDSWAP4 curncy,1998-2-12,7.98
NDBS4 curncy,1998-2-12,
SEK4Y curncy,1998-2-12,
SKBS4 curncy,1998-2-12,
DMBS4 curncy,1998-2-12,1.5
SKSW4 curncy,1998-2-12,5.55
DMSW4 curncy,1998-2-12,4.515
AUD curncy,1998-3-18,0.6619
AUD4Y curncy,1998-3-18,65
CAD curncy,1998-3-18,1.4188
ADSWAP4 curncy,1998-3-18,5.72
ADBS4 curncy,1998-3-18,3
CHF curncy,1998-3-18,1.4918
CAD4Y curncy,1998-3-18,
CDBS4 curncy,1998-3-18,
GBP curncy,1998-3-18,1.6699
CDSW4 curncy,1998-3-18,5.32
JPY curncy,1998-3-18,130.04
CHF4Y curncy,1998-3-18,-1979.5
SFBS4 curncy,1998-3-18,
NOK curncy,1998-3-18,7.6135
SFSW4 curncy,1998-3-18,2.27
