AUD15Y curncy,1998-1-12,
AUD curncy,1998-1-12,0.6421
ADBS15 curncy,1998-1-12,
CAD curncy,1998-1-12,1.4344
CAD15Y curncy,1998-1-12,
CHF curncy,1998-1-12,1.4768
CHF15Y curncy,1998-1-12,
ADSWAP15 curncy,1998-1-12,6.29
CDBS15 curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
GBP15Y curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CDSW15 curncy,1998-1-12,
JPY15Y curncy,1998-1-12,
SFBS15 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
NOK15Y curncy,1998-1-12,
NZD curncy,1998-1-12,0.5681
SFSW15 curncy,1998-1-12,
BPBS15 curncy,1998-1-12,
NZD15Y curncy,1998-1-12,
SEK curncy,1998-1-12,8.0437
JYBS15 curncy,1998-1-12,
BPSW15 curncy,1998-1-12,6.36
SEK15Y curncy,1998-1-12,
USSWAP15 curncy,1998-1-12,6.01
NKBS15 curncy,1998-1-12,
JYSW15 curncy,1998-1-12,2.53
DEM curncy,1998-1-12,1.8205
NKSW15 curncy,1998-1-12,
NDBS15 curncy,1998-1-12,
SKBS15 curncy,1998-1-12,
DMBS15 curncy,1998-1-12,
NDSWAP15 curncy,1998-1-12,
SKSW15 curncy,1998-1-12,
DMSW15 curncy,1998-1-12,5.58
AUD curncy,1998-2-12,0.6746
AUD15Y curncy,1998-2-12,
ADSWAP15 curncy,1998-2-12,6.56
CAD curncy,1998-2-12,1.4376
ADBS15 curncy,1998-2-12,
CAD15Y curncy,1998-2-12,
CHF curncy,1998-2-12,1.4538
CDSW15 curncy,1998-2-12,
CHF15Y curncy,1998-2-12,
CDBS15 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
GBP15Y curncy,1998-2-12,
JPY curncy,1998-2-12,124.69
SFSW15 curncy,1998-2-12,3.6
SFBS15 curncy,1998-2-12,
JPY15Y curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
BPBS15 curncy,1998-2-12,
NOK15Y curncy,1998-2-12,
NZD curncy,1998-2-12,0.5828
BPSW15 curncy,1998-2-12,6.38
SEK curncy,1998-2-12,8.0583
NZD15Y curncy,1998-2-12,
JYSW15 curncy,1998-2-12,2.71
JYBS15 curncy,1998-2-12,
SEK15Y curncy,1998-2-12,
USSWAP15 curncy,1998-2-12,6.13
NKBS15 curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NKSW15 curncy,1998-2-12,
NDBS15 curncy,1998-2-12,
DMBS15 curncy,1998-2-12,
NDSWAP15 curncy,1998-2-12,
SKBS15 curncy,1998-2-12,
DMSW15 curncy,1998-2-12,5.49
SKSW15 curncy,1998-2-12,
AUD curncy,1998-3-18,0.6619
AUD15Y curncy,1998-3-18,
CAD curncy,1998-3-18,1.4188
ADBS15 curncy,1998-3-18,
ADSWAP15 curncy,1998-3-18,6.39
CAD15Y curncy,1998-3-18,
CHF curncy,1998-3-18,1.4918
CDSW15 curncy,1998-3-18,
CDBS15 curncy,1998-3-18,
CHF15Y curncy,1998-3-18,
GBP curncy,1998-3-18,1.6699
SFBS15 curncy,1998-3-18,
GBP15Y curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
SFSW15 curncy,1998-3-18,3.62
JPY15Y curncy,1998-3-18,
NOK curncy,1998-3-18,7.6135
BPBS15 curncy,1998-3-18,
BPSW15 curncy,1998-3-18,6.32
NZD curncy,1998-3-18,0.5629
NOK15Y curncy,1998-3-18,
JYBS15 curncy,1998-3-18,
SEK curncy,1998-3-18,7.9525
NZD15Y curncy,1998-3-18,
JYSW15 curncy,1998-3-18,2.54
NKBS15 curncy,1998-3-18,
SEK15Y curncy,1998-3-18,
NKSW15 curncy,1998-3-18,
NDBS15 curncy,1998-3-18,
USSWAP15 curncy,1998-3-18,6.2
DEM curncy,1998-3-18,1.8285
NDSWAP15 curncy,1998-3-18,
