AUD curncy,1998-1-12,0.6421
ADBS6 curncy,1998-1-12,
AUD6Y curncy,1998-1-12,
CAD curncy,1998-1-12,1.4344
ADSWAP6 curncy,1998-1-12,5.755
CHF curncy,1998-1-12,1.4768
CDBS6 curncy,1998-1-12,
CAD6Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW6 curncy,1998-1-12,5.344
JPY curncy,1998-1-12,132.63
CHF6Y curncy,1998-1-12,
SFBS6 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
SFSW6 curncy,1998-1-12,2.9
GBP6Y curncy,1998-1-12,
NZD curncy,1998-1-12,0.5681
BPBS6 curncy,1998-1-12,
SEK curncy,1998-1-12,8.0437
BPSW6 curncy,1998-1-12,6.49
JPY6Y curncy,1998-1-12,-2840
JYBS6 curncy,1998-1-12,-13.5
JYSW6 curncy,1998-1-12,1.61
NOK6Y curncy,1998-1-12,
USSWAP6 curncy,1998-1-12,5.745
NKBS6 curncy,1998-1-12,
NKSW6 curncy,1998-1-12,
DEM curncy,1998-1-12,1.8205
NZD6Y curncy,1998-1-12,
NDBS6 curncy,1998-1-12,
NDSWAP6 curncy,1998-1-12,
SEK6Y curncy,1998-1-12,
DEM6Y curncy,1998-1-12,
SKBS6 curncy,1998-1-12,
SKSW6 curncy,1998-1-12,5.73
DMSW6 curncy,1998-1-12,4.925
AUD curncy,1998-2-12,0.6746
ADSWAP6 curncy,1998-2-12,6.07
ADBS6 curncy,1998-2-12,
AUD6Y curncy,1998-2-12,
CAD curncy,1998-2-12,1.4376
CDSW6 curncy,1998-2-12,5.511
CHF curncy,1998-2-12,1.4538
CAD6Y curncy,1998-2-12,
CDBS6 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
SFSW6 curncy,1998-2-12,2.6
CHF6Y curncy,1998-2-12,
JPY curncy,1998-2-12,124.69
SFBS6 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
GBP6Y curncy,1998-2-12,
BPSW6 curncy,1998-2-12,6.52
BPBS6 curncy,1998-2-12,
NZD curncy,1998-2-12,0.5828
JPY6Y curncy,1998-2-12,-2667
JYSW6 curncy,1998-2-12,1.825
SEK curncy,1998-2-12,8.0583
JYBS6 curncy,1998-2-12,-14
NOK6Y curncy,1998-2-12,
NKSW6 curncy,1998-2-12,
USSWAP6 curncy,1998-2-12,5.885
NKBS6 curncy,1998-2-12,
NZD6Y curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NDSWAP6 curncy,1998-2-12,
NDBS6 curncy,1998-2-12,
DEM6Y curncy,1998-2-12,
SEK6Y curncy,1998-2-12,
SKSW6 curncy,1998-2-12,5.7
SKBS6 curncy,1998-2-12,
DMSW6 curncy,1998-2-12,4.835
AUD curncy,1998-3-18,0.6619
ADSWAP6 curncy,1998-3-18,5.93
ADBS6 curncy,1998-3-18,
AUD6Y curncy,1998-3-18,
CAD curncy,1998-3-18,1.4188
CDSW6 curncy,1998-3-18,5.399
CHF curncy,1998-3-18,1.4918
CAD6Y curncy,1998-3-18,
CDBS6 curncy,1998-3-18,
GBP curncy,1998-3-18,1.6699
SFSW6 curncy,1998-3-18,2.67
CHF6Y curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
SFBS6 curncy,1998-3-18,
NOK curncy,1998-3-18,7.6135
GBP6Y curncy,1998-3-18,
BPSW6 curncy,1998-3-18,6.55
BPBS6 curncy,1998-3-18,
NZD curncy,1998-3-18,0.5629
JPY6Y curncy,1998-3-18,-2960
JYSW6 curncy,1998-3-18,1.64
SEK curncy,1998-3-18,7.9525
JYBS6 curncy,1998-3-18,-13
NOK6Y curncy,1998-3-18,
NKSW6 curncy,1998-3-18,
USSWAP6 curncy,1998-3-18,5.985
NKBS6 curncy,1998-3-18,
NZD6Y curncy,1998-3-18,
DEM curncy,1998-3-18,1.8285
NDSWAP6 curncy,1998-3-18,
NDBS6 curncy,1998-3-18,
DEM6Y curncy,1998-3-18,
SEK6Y curncy,1998-3-18,
SKSW6 curncy,1998-3-18,5.45
SKBS6 curncy,1998-3-18,
DMSW6 curncy,1998-3-18,4.755
AUD curncy,1998-4-21,0.6515
ADSWAP6 curncy,1998-4-21,5.945
AUD6Y curncy,1998-4-21,
CAD curncy,1998-4-21,1.4318
ADBS6 curncy,1998-4-21,
CHF curncy,1998-4-21,1.4821
CAD6Y curncy,1998-4-21,
CDSW6 curncy,1998-4-21,5.4375
GBP curncy,1998-4-21,1.6737
CDBS6 curncy,1998-4-21,
CHF6Y curncy,1998-4-21,-3432
JPY curncy,1998-4-21,131.3
SFSW6 curncy,1998-4-21,3.06
NOK curncy,1998-4-21,7.427
GBP6Y curncy,1998-4-21,1873
BPSW6 curncy,1998-4-21,6.44
NZD curncy,1998-4-21,0.5586
SFBS6 curncy,1998-4-21,
JPY6Y curncy,1998-4-21,-3040
SEK curncy,1998-4-21,7.6623
JYSW6 curncy,1998-4-21,1.62
BPBS6 curncy,1998-4-21,
NOK6Y curncy,1998-4-21,
USSWAP6 curncy,1998-4-21,6.085
NKSW6 curncy,1998-4-21,
DEM curncy,1998-4-21,1.7858
JYBS6 curncy,1998-4-21,-14.5
NZD6Y curncy,1998-4-21,
