AUD curncy,1998-1-12,0.6421
AUD8Y curncy,1998-1-12,
CAD curncy,1998-1-12,1.4344
ADSWAP8 curncy,1998-1-12,
ADBS8 curncy,1998-1-12,
CHF curncy,1998-1-12,1.4768
CAD8Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW8 curncy,1998-1-12,5.447
CDBS8 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF8Y curncy,1998-1-12,
SFSW8 curncy,1998-1-12,3.27
SFBS8 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
GBP8Y curncy,1998-1-12,
BPSW8 curncy,1998-1-12,6.4
NZD curncy,1998-1-12,0.5681
BPBS8 curncy,1998-1-12,
JPY8Y curncy,1998-1-12,-3480
SEK curncy,1998-1-12,8.0437
JYSW8 curncy,1998-1-12,1.93
JYBS8 curncy,1998-1-12,-13.5
NOK8Y curncy,1998-1-12,
USSWAP8 curncy,1998-1-12,5.825
DEM curncy,1998-1-12,1.8205
NZD8Y curncy,1998-1-12,
NKBS8 curncy,1998-1-12,
NKSW8 curncy,1998-1-12,
SEK8Y curncy,1998-1-12,
NDBS8 curncy,1998-1-12,
NDSWAP8 curncy,1998-1-12,
DEM8Y curncy,1998-1-12,
SKBS8 curncy,1998-1-12,
SKSW8 curncy,1998-1-12,5.84
DMBS8 curncy,1998-1-12,
DMSW8 curncy,1998-1-12,
AUD curncy,1998-2-12,0.6746
ADBS8 curncy,1998-2-12,
AUD8Y curncy,1998-2-12,
CAD curncy,1998-2-12,1.4376
ADSWAP8 curncy,1998-2-12,
CHF curncy,1998-2-12,1.4538
CAD8Y curncy,1998-2-12,
CDSW8 curncy,1998-2-12,5.588
GBP curncy,1998-2-12,1.6395
CDBS8 curncy,1998-2-12,
JPY curncy,1998-2-12,124.69
CHF8Y curncy,1998-2-12,
SFSW8 curncy,1998-2-12,2.97
NOK curncy,1998-2-12,7.5213
SFBS8 curncy,1998-2-12,
GBP8Y curncy,1998-2-12,
NZD curncy,1998-2-12,0.5828
SEK curncy,1998-2-12,8.0583
JPY8Y curncy,1998-2-12,-3265
BPBS8 curncy,1998-2-12,
BPSW8 curncy,1998-2-12,6.44
NOK8Y curncy,1998-2-12,
USSWAP8 curncy,1998-2-12,5.945
JYSW8 curncy,1998-2-12,2.125
JYBS8 curncy,1998-2-12,-14
DEM curncy,1998-2-12,1.8086
NZD8Y curncy,1998-2-12,
NKSW8 curncy,1998-2-12,
NKBS8 curncy,1998-2-12,
DEM8Y curncy,1998-2-12,
SEK8Y curncy,1998-2-12,
DMBS8 curncy,1998-2-12,
NDSWAP8 curncy,1998-2-12,
NDBS8 curncy,1998-2-12,
DMSW8 curncy,1998-2-12,
SKSW8 curncy,1998-2-12,5.8
SKBS8 curncy,1998-2-12,
AUD curncy,1998-3-18,0.6619
ADBS8 curncy,1998-3-18,
AUD8Y curncy,1998-3-18,
CAD curncy,1998-3-18,1.4188
ADSWAP8 curncy,1998-3-18,
CHF curncy,1998-3-18,1.4918
CDBS8 curncy,1998-3-18,
CAD8Y curncy,1998-3-18,
CDSW8 curncy,1998-3-18,5.497
GBP curncy,1998-3-18,1.6699
SFBS8 curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
SFSW8 curncy,1998-3-18,3
CHF8Y curncy,1998-3-18,
NOK curncy,1998-3-18,7.6135
BPBS8 curncy,1998-3-18,
GBP8Y curncy,1998-3-18,
NZD curncy,1998-3-18,0.5629
BPSW8 curncy,1998-3-18,6.43
JPY8Y curncy,1998-3-18,-3590
SEK curncy,1998-3-18,7.9525
JYBS8 curncy,1998-3-18,-13
JYSW8 curncy,1998-3-18,1.95
NOK8Y curncy,1998-3-18,
NKSW8 curncy,1998-3-18,
USSWAP8 curncy,1998-3-18,6.045
NKBS8 curncy,1998-3-18,
DEM curncy,1998-3-18,1.8285
NZD8Y curncy,1998-3-18,
NDBS8 curncy,1998-3-18,
NDSWAP8 curncy,1998-3-18,
DEM8Y curncy,1998-3-18,
SEK8Y curncy,1998-3-18,
SKBS8 curncy,1998-3-18,
SKSW8 curncy,1998-3-18,5.55
DMBS8 curncy,1998-3-18,
DMSW8 curncy,1998-3-18,
AUD curncy,1998-4-21,0.6515
ADSWAP8 curncy,1998-4-21,
AUD8Y curncy,1998-4-21,
CAD curncy,1998-4-21,1.4318
ADBS8 curncy,1998-4-21,
CAD8Y curncy,1998-4-21,
CDSW8 curncy,1998-4-21,5.5175
CHF curncy,1998-4-21,1.4821
CDBS8 curncy,1998-4-21,
GBP curncy,1998-4-21,1.6737
CHF8Y curncy,1998-4-21,-4578
JPY curncy,1998-4-21,131.3
SFSW8 curncy,1998-4-21,3.35
SFBS8 curncy,1998-4-21,
GBP8Y curncy,1998-4-21,
NOK curncy,1998-4-21,7.427
BPSW8 curncy,1998-4-21,6.3
BPBS8 curncy,1998-4-21,
NZD curncy,1998-4-21,0.5586
JPY8Y curncy,1998-4-21,-3690
SEK curncy,1998-4-21,7.6623
JYBS8 curncy,1998-4-21,-14
JYSW8 curncy,1998-4-21,1.91
NOK8Y curncy,1998-4-21,
USSWAP8 curncy,1998-4-21,6.125
NKSW8 curncy,1998-4-21,
NKBS8 curncy,1998-4-21,
DEM curncy,1998-4-21,1.7858
NZD8Y curncy,1998-4-21,
NDSWAP8 curncy,1998-4-21,
DEM8Y curncy,1998-4-21,
SEK8Y curncy,1998-4-21,
NDBS8 curncy,1998-4-21,
SKSW8 curncy,1998-4-21,5.43
DMBS8 curncy,1998-4-21,
SKBS8 curncy,1998-4-21,
DMSW8 curncy,1998-4-21,
AUD curncy,1998-5-13,0.6309
AUD8Y curncy,1998-5-13,
ADBS8 curncy,1998-5-13,
ADSWAP8 curncy,1998-5-13,
CAD curncy,1998-5-13,1.4448
CHF curncy,1998-5-13,1.4806
CDBS8 curncy,1998-5-13,
CAD8Y curncy,1998-5-13,
CDSW8 curncy,1998-5-13,5.5895
GBP curncy,1998-5-13,1.6311
JPY curncy,1998-5-13,134.13
CHF8Y curncy,1998-5-13,
SFBS8 curncy,1998-5-13,
SFSW8 curncy,1998-5-13,3.37
NOK curncy,1998-5-13,7.462
GBP8Y curncy,1998-5-13,
