AUD curncy,1998-1-12,0.6421
ADSWAP7 curncy,1998-1-12,5.98
AUD7Y curncy,1998-1-12,-55
CAD curncy,1998-1-12,1.4344
ADBS7 curncy,1998-1-12,2
CHF curncy,1998-1-12,1.4768
CAD7Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW7 curncy,1998-1-12,5.425
CDBS7 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
CHF7Y curncy,1998-1-12,-2418.5
SFSW7 curncy,1998-1-12,3.1
NOK curncy,1998-1-12,7.5273
GBP7Y curncy,1998-1-12,-634.5
SFBS7 curncy,1998-1-12,
NZD curncy,1998-1-12,0.5681
BPSW7 curncy,1998-1-12,6.43
SEK curncy,1998-1-12,8.0437
JPY7Y curncy,1998-1-12,-3268
BPBS7 curncy,1998-1-12,0.875
JYSW7 curncy,1998-1-12,1.785
USSWAP7 curncy,1998-1-12,5.785
NOK7Y curncy,1998-1-12,
DEM curncy,1998-1-12,1.8205
JYBS7 curncy,1998-1-12,-13.5
NKSW7 curncy,1998-1-12,5.485
NZD7Y curncy,1998-1-12,
DEM7Y curncy,1998-1-12,
NKBS7 curncy,1998-1-12,
NDSWAP7 curncy,1998-1-12,7.66
SEK7Y curncy,1998-1-12,
DMBS7 curncy,1998-1-12,1.75
NDBS7 curncy,1998-1-12,
SKSW7 curncy,1998-1-12,5.79
SKBS7 curncy,1998-1-12,
DMSW7 curncy,1998-1-12,5.055
AUD curncy,1998-2-12,0.6746
CAD curncy,1998-2-12,1.4376
ADSWAP7 curncy,1998-2-12,6.195
AUD7Y curncy,1998-2-12,-135
ADBS7 curncy,1998-2-12,3
CHF curncy,1998-2-12,1.4538
CDSW7 curncy,1998-2-12,5.555
CAD7Y curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
CDBS7 curncy,1998-2-12,
JPY curncy,1998-2-12,124.69
CHF7Y curncy,1998-2-12,-2748.5
SFSW7 curncy,1998-2-12,2.8
SFBS7 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
NZD curncy,1998-2-12,0.5828
GBP7Y curncy,1998-2-12,-538.5
BPSW7 curncy,1998-2-12,6.47
BPBS7 curncy,1998-2-12,0.875
SEK curncy,1998-2-12,8.0583
JPY7Y curncy,1998-2-12,-2960.5
JYSW7 curncy,1998-2-12,1.985
JYBS7 curncy,1998-2-12,-14
USSWAP7 curncy,1998-2-12,5.915
NOK7Y curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NKSW7 curncy,1998-2-12,5.405
NKBS7 curncy,1998-2-12,
DEM7Y curncy,1998-2-12,
NZD7Y curncy,1998-2-12,
NDBS7 curncy,1998-2-12,
