AUD curncy,1998-1-12,0.6421
CAD curncy,1998-1-12,1.4344
AUD3Y curncy,1998-1-12,51.5
ADSWAP3 curncy,1998-1-12,5.485
ADBS3 curncy,1998-1-12,4
CHF curncy,1998-1-12,1.4768
CAD3Y curncy,1998-1-12,
GBP curncy,1998-1-12,1.6225
CDSW3 curncy,1998-1-12,5.17
CDBS3 curncy,1998-1-12,
JPY curncy,1998-1-12,132.63
SFSW3 curncy,1998-1-12,2.12
CHF3Y curncy,1998-1-12,-1423.5
SFBS3 curncy,1998-1-12,
NOK curncy,1998-1-12,7.5273
NZD curncy,1998-1-12,0.5681
BPSW3 curncy,1998-1-12,6.725
BPBS3 curncy,1998-1-12,0.875
GBP3Y curncy,1998-1-12,-502.5
SEK curncy,1998-1-12,8.0437
JYSW3 curncy,1998-1-12,0.935
JYBS3 curncy,1998-1-12,-14.5
JPY3Y curncy,1998-1-12,-1730
USSWAP3 curncy,1998-1-12,5.605
NKSW3 curncy,1998-1-12,5.025
DEM curncy,1998-1-12,1.8205
NKBS3 curncy,1998-1-12,
NOK3Y curncy,1998-1-12,-1750
NDSWAP3 curncy,1998-1-12,8.09
NDBS3 curncy,1998-1-12,
DEM3Y curncy,1998-1-12,
NZD3Y curncy,1998-1-12,-388
SKBS3 curncy,1998-1-12,
SKSW3 curncy,1998-1-12,5.47
SEK3Y curncy,1998-1-12,-389.5
DMBS3 curncy,1998-1-12,2
DMSW3 curncy,1998-1-12,4.355
AUD curncy,1998-2-12,0.6746
CAD curncy,1998-2-12,1.4376
AUD3Y curncy,1998-2-12,27
ADBS3 curncy,1998-2-12,4
ADSWAP3 curncy,1998-2-12,5.65
CHF curncy,1998-2-12,1.4538
CAD3Y curncy,1998-2-12,
CDSW3 curncy,1998-2-12,5.38
CDBS3 curncy,1998-2-12,
GBP curncy,1998-2-12,1.6395
JPY curncy,1998-2-12,124.69
SFSW3 curncy,1998-2-12,1.91
CHF3Y curncy,1998-2-12,-1570.5
SFBS3 curncy,1998-2-12,
NOK curncy,1998-2-12,7.5213
NZD curncy,1998-2-12,0.5828
GBP3Y curncy,1998-2-12,-495
BPSW3 curncy,1998-2-12,6.785
BPBS3 curncy,1998-2-12,0.875
SEK curncy,1998-2-12,8.0583
JYSW3 curncy,1998-2-12,1.195
JPY3Y curncy,1998-2-12,-1596.5
JYBS3 curncy,1998-2-12,-16
NKSW3 curncy,1998-2-12,4.915
USSWAP3 curncy,1998-2-12,5.755
NOK3Y curncy,1998-2-12,-2050
NKBS3 curncy,1998-2-12,
DEM curncy,1998-2-12,1.8086
NDSWAP3 curncy,1998-2-12,8.095
NZD3Y curncy,1998-2-12,-372
DEM3Y curncy,1998-2-12,
NDBS3 curncy,1998-2-12,
SKSW3 curncy,1998-2-12,5.46
SEK3Y curncy,1998-2-12,-917
DMBS3 curncy,1998-2-12,1.75
SKBS3 curncy,1998-2-12,
DMSW3 curncy,1998-2-12,4.315
AUD curncy,1998-3-18,0.6619
AUD3Y curncy,1998-3-18,85
ADBS3 curncy,1998-3-18,3.5
CAD curncy,1998-3-18,1.4188
ADSWAP3 curncy,1998-3-18,5.495
CHF curncy,1998-3-18,1.4918
CAD3Y curncy,1998-3-18,
CDSW3 curncy,1998-3-18,5.26
GBP curncy,1998-3-18,1.6699
CDBS3 curncy,1998-3-18,
JPY curncy,1998-3-18,130.04
CHF3Y curncy,1998-3-18,-1585.5
SFSW3 curncy,1998-3-18,2.05
SFBS3 curncy,1998-3-18,
NOK curncy,1998-3-18,7.6135
GBP3Y curncy,1998-3-18,-538.5
NZD curncy,1998-3-18,0.5629
BPSW3 curncy,1998-3-18,6.905
BPBS3 curncy,1998-3-18,0.875
SEK curncy,1998-3-18,7.9525
JPY3Y curncy,1998-3-18,-1790
JYSW3 curncy,1998-3-18,1.01
JYBS3 curncy,1998-3-18,-13
NOK3Y curncy,1998-3-18,-1950
USSWAP3 curncy,1998-3-18,5.895
DEM curncy,1998-3-18,1.8285
NKBS3 curncy,1998-3-18,
