DATE,IRLTLT01NOM156N
1985-01-01,12.5
1985-02-01,12.74
1985-03-01,12.81
1985-04-01,12.87
1985-05-01,12.87
1985-06-01,12.92
1985-07-01,13.01
1985-08-01,13
1985-09-01,12.99
1985-10-01,12.97
1985-11-01,13
1985-12-01,13.26
1986-01-01,13.49
1986-02-01,13.48
1986-03-01,13.37
1986-04-01,13.05
1986-05-01,13.02
1986-06-01,13.27
1986-07-01,13.35
1986-08-01,13.35
1986-09-01,13.21
1986-10-01,13.12
1986-11-01,13.25
1986-12-01,13.63
1987-01-01,13.55
1987-02-01,13.41
1987-03-01,13.4
1987-04-01,13.38
1987-05-01,13.43
1987-06-01,13.46
1987-07-01,13.43
1987-08-01,13.27
1987-09-01,12.77
1987-10-01,12.95
1987-11-01,13.27
1987-12-01,13.34
1988-01-01,13.38
1988-02-01,13.33
1988-03-01,13.25
1988-04-01,13.18
1988-05-01,13.06
1988-06-01,12.81
1988-07-01,12.75
1988-08-01,12.85
1988-09-01,12.9
1988-10-01,12.78
1988-11-01,12.49
1988-12-01,11.97
1989-01-01,11.33
1989-02-01,10.77
1989-03-01,10.79
1989-04-01,10.78
1989-05-01,10.59
1989-06-01,10.77
1989-07-01,10.83
1989-08-01,10.83
1989-09-01,10.62
1989-10-01,10.66
1989-11-01,10.95
1989-12-01,10.99
1990-01-01,10.72
1990-02-01,10.57
1990-03-01,10.7
1990-04-01,10.94
1990-05-01,10.8
1990-06-01,10.76
1990-07-01,10.66
1990-08-01,10.58
1990-09-01,10.57
1990-10-01,10.61
1990-11-01,10.64
1990-12-01,10.61
1991-01-01,10.57
1991-02-01,10.45
1991-03-01,10.4
1991-04-01,10.17
1991-05-01,9.89
1991-06-01,9.77
1991-07-01,9.75
1991-08-01,9.71
1991-09-01,9.75
1991-10-01,9.88
1991-11-01,9.83
1991-12-01,9.79
1992-01-01,9.52
1992-02-01,9.32
1992-03-01,9.34
1992-04-01,9.38
1992-05-01,9.37
1992-06-01,9.46
1992-07-01,9.55
1992-08-01,9.87
1992-09-01,10.24
1992-10-01,10.2
1992-11-01,9.61
1992-12-01,9.42
1993-01-01,8.93
1993-02-01,8.39
1993-03-01,7.67
1993-04-01,7.4
1993-05-01,7.12
1993-06-01,6.81
1993-07-01,6.65
1993-08-01,6.16
1993-09-01,6.1
1993-10-01,5.9
1993-11-01,5.74
1993-12-01,5.69
1994-01-01,5.56
1994-02-01,5.55
1994-03-01,6.11
1994-04-01,6.59
1994-05-01,7.23
1994-06-01,8.08
1994-07-01,7.7
1994-08-01,8.15
1994-09-01,8.9
1994-10-01,8.71
1994-11-01,8.63
1994-12-01,8.02
1995-01-01,8.16
1995-02-01,8
1995-03-01,7.98
1995-04-01,7.75
1995-05-01,7.47
1995-06-01,7.55
1995-07-01,7.57
1995-08-01,7.41
1995-09-01,7.08
1995-10-01,6.96
1995-11-01,6.7
1995-12-01,6.46
1996-01-01,6.39
1996-02-01,6.79
1996-03-01,6.85
1996-04-01,6.71
1996-05-01,6.9
1996-06-01,7.05
1996-07-01,7.02
1996-08-01,6.97
1996-09-01,7.02
1996-10-01,6.75
1996-11-01,6.5
1996-12-01,6.33
1997-01-01,6.03
1997-02-01,5.65
1997-03-01,5.94
1997-04-01,6.19
1997-05-01,6.03
1997-06-01,5.95
1997-07-01,5.95
1997-08-01,6.06
1997-09-01,5.89
1997-10-01,5.75
1997-11-01,5.72
1997-12-01,5.5
1998-01-01,5.33
1998-02-01,5.29
1998-03-01,5.28
1998-04-01,5.33
1998-05-01,5.5
1998-06-01,5.47
1998-07-01,5.4
1998-08-01,5.47
1998-09-01,5.44
1998-10-01,5.48
1998-11-01,5.48
1998-12-01,5.33
1999-01-01,5.01
1999-02-01,4.75
1999-03-01,4.92
1999-04-01,4.69
1999-05-01,4.98
1999-06-01,5.45
1999-07-01,5.81
1999-08-01,5.97
1999-09-01,6.03
1999-10-01,6.27
1999-11-01,6.02
1999-12-01,6.07
2000-01-01,6.36
2000-02-01,6.33
2000-03-01,6.14
2000-04-01,6.09
2000-05-01,6.25
2000-06-01,6.09
2000-07-01,6.22
2000-08-01,6.18
2000-09-01,6.34
2000-10-01,6.37
2000-11-01,6.24
2000-12-01,6.01
2001-01-01,5.95
2001-02-01,5.96
2001-03-01,6.01
2001-04-01,6.22
2001-05-01,6.48
2001-06-01,6.59
2001-07-01,6.65
2001-08-01,6.45
2001-09-01,6.4
2001-10-01,6.1
2001-11-01,5.86
2001-12-01,6.17
2002-01-01,6.23
2002-02-01,6.35
2002-03-01,6.63
2002-04-01,6.71
2002-05-01,6.77
2002-06-01,6.78
2002-07-01,6.56
2002-08-01,6.31
2002-09-01,6.06
2002-10-01,6.16
2002-11-01,6.12
2002-12-01,5.93
2003-01-01,5.68
2003-02-01,5.32
2003-03-01,5.25
2003-04-01,5.31
2003-05-01,4.97
2003-06-01,4.5
2003-07-01,4.9
2003-08-01,5.01
2003-09-01,4.91
2003-10-01,4.94
2003-11-01,4.97
2003-12-01,4.78
2004-01-01,4.54
2004-02-01,4.29
2004-03-01,4.12
2004-04-01,4.67
2004-05-01,4.91
2004-06-01,4.72
2004-07-01,4.47
2004-08-01,4.29
2004-09-01,4.23
2004-10-01,4.19
2004-11-01,4.05
2004-12-01,3.94
2005-01-01,3.9
2005-02-01,3.77
2005-03-01,4.02
2005-04-01,3.87
2005-05-01,3.7
2005-06-01,3.55
2005-07-01,3.56
2005-08-01,3.62
2005-09-01,3.49
2005-10-01,3.68
2005-11-01,3.96
2005-12-01,3.83
2006-01-01,3.65
2006-02-01,3.72
2006-03-01,3.84
2006-04-01,4.07
2006-05-01,4.17
2006-06-01,4.26
2006-07-01,4.31
2006-08-01,4.2
2006-09-01,4.12
2006-10-01,4.18
2006-11-01,4.16
2006-12-01,4.24
2007-01-01,4.39
2007-02-01,4.52
2007-03-01,4.45
2007-04-01,4.71
2007-05-01,4.88
2007-06-01,5.19
2007-07-01,5.1
2007-08-01,4.91
2007-09-01,4.81
2007-10-01,4.91
2007-11-01,4.76
2007-12-01,4.66
2008-01-01,4.52
2008-02-01,4.39
2008-03-01,4.28
2008-04-01,4.5
2008-05-01,4.63
2008-06-01,4.94
2008-07-01,4.94
2008-08-01,4.69
2008-09-01,4.49
2008-10-01,4.17
2008-11-01,4.18
2008-12-01,3.77
2009-01-01,3.69
2009-02-01,3.75
2009-03-01,3.81
2009-04-01,3.9
2009-05-01,4.12
2009-06-01,4.23
2009-07-01,4.05
2009-08-01,4.17
2009-09-01,4.17
2009-10-01,4.07
2009-11-01,4.04
2009-12-01,3.98
2010-01-01,4.08
2010-02-01,3.87
2010-03-01,3.85
2010-04-01,3.84
2010-05-01,3.46
2010-06-01,3.36
2010-07-01,3.33
2010-08-01,3.12
2010-09-01,3.3
2010-10-01,3.24
2010-11-01,3.28
2010-12-01,3.61
2011-01-01,3.75
2011-02-01,3.81
2011-03-01,3.77
2011-04-01,3.79
2011-05-01,3.48
2011-06-01,3.36
2011-07-01,3.24
2011-08-01,2.6
2011-09-01,2.36
2011-10-01,2.59
2011-11-01,2.49
2011-12-01,2.38
2012-01-01,2.22
2012-02-01,2.4
2012-03-01,2.48
2012-04-01,2.34
2012-05-01,2.05
2012-06-01,1.94
2012-07-01,1.73
2012-08-01,1.92
2012-09-01,2.07
2012-10-01,1.98
2012-11-01,2.01
2012-12-01,2.08
2013-01-01,2.31
2013-02-01,2.49
2013-03-01,2.24
2013-04-01,2.07
2013-05-01,2.1
2013-06-01,2.4
2013-07-01,2.61
2013-08-01,2.84
2013-09-01,3.12
2013-10-01,2.95
2013-11-01,2.86
2013-12-01,2.94
2014-01-01,2.95
2014-02-01,2.85
2014-03-01,2.94
2014-04-01,2.88
2014-05-01,2.73
2014-06-01,2.61
2014-07-01,2.43
2014-08-01,2.36
2014-09-01,2.4
2014-10-01,2.21
2014-11-01,2.05
2014-12-01,1.77
2015-01-01,1.45
2015-02-01,1.39
2015-03-01,1.54
2015-04-01,1.44
2015-05-01,1.65
2015-06-01,1.77
2015-07-01,1.7
2015-08-01,1.49
2015-09-01,1.6
2015-10-01,1.57
2015-11-01,1.63
2015-12-01,1.55
2016-01-01,1.45
2016-02-01,1.39
2016-03-01,1.33
2016-04-01,1.3
2016-05-01,1.4
2016-06-01,1.17
2016-07-01,0.96
2016-08-01,1.07
2016-09-01,1.23
2016-10-01,1.34
2016-11-01,1.58
2016-12-01,1.76
2017-01-01,1.69
2017-02-01,1.74
2017-03-01,1.77
2017-04-01,1.61
